vul_id,repo,fixed_commit_sha,judgement,target_file,target_func,patch_file,patch_func,CWE,vuln_type
CVE-2020-11099,FreeRDP/FreeRDP,6ade7b4cbfd71c54b3d724e8f2d6ac76a58e879a,FP,channels/rdpgfx/client/rdpgfx_codec.c,rdpgfx_decode_AVC444,libfreerdp/core/license.c,license_read_new_or_upgrade_license_packet,Unknown,Unknown
CVE-2020-11085,FreeRDP/FreeRDP,b73143cf7ee5fe4cdabcbf56908aa15d8a883821,FP,client/X11/xf_cliprdr.c,xf_clipboard_free_server_formats,channels/cliprdr/cliprdr_common.c,cliprdr_free_format_list,Unknown,Unknown
CVE-2020-11098,FreeRDP/FreeRDP,c0fd449ec0870b050d350d6d844b1ea6dad4bc7d,TP,libfreerdp/cache/glyph.c,glyph_cache_get,libfreerdp/cache/glyph.c,glyph_cache_put,Unknown,Unknown
CVE-2018-8789,FreeRDP/FreeRDP,2ee663f39dc8dac3d9988e847db19b2d7e3ac8c6,FP,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_read_message_fields_buffer,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_write_message_fields_buffer,Unknown,Unknown
CVE-2018-8789,FreeRDP/FreeRDP,2ee663f39dc8dac3d9988e847db19b2d7e3ac8c6,FP,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_free_message_fields_buffer,winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_free_message_fields_buffer,Unknown,Unknown
CVE-2020-4031,FreeRDP/FreeRDP,6d86e20e1e7caaab4f0c7f89e36d32914dbccc52,TP,client/common/file.c,freerdp_client_populate_settings_from_rdp_file,server/shadow/shadow_server.c,shadow_server_start,Unknown,Unknown
CVE-2015-8897,ImageMagick/ImageMagick,7b1cf5784b5bcd85aa9293ecf56769f68c037231,FP,MagickCore/effect.c,UnsharpMaskImage,MagickCore/transform.c,SpliceImage,Unknown,Unknown
CVE-2016-7526,ImageMagick/ImageMagick,998c687fb83993c13fa711d75f59a95b38ceab77,FP,coders/tim2.c,ReadTIM2ImageData,coders/wpg.c,InsertRow,Unknown,Unknown
CVE-2020-25675,ImageMagick/ImageMagick,64dc80b2e1907f7f20bf34d4df9483f938b0de71,TP,MagickCore/display.c,XCropImage,MagickCore/transform.c,CropImageToTiles,Unknown,Unknown
CVE-2015-8897,ImageMagick/ImageMagick,7b1cf5784b5bcd85aa9293ecf56769f68c037231,FP,MagickCore/transform.c,ChopImage,MagickCore/transform.c,SpliceImage,Unknown,Unknown
CVE-2020-27753,ImageMagick/ImageMagick,bb3acad195de95db86c7509d8072db01890470e0,FP,coders/svg.c,SVGKeyValuePairs,coders/miff.c,PushRunlengthPacket,Unknown,Unknown
CVE-2017-12663,ImageMagick/ImageMagick,1dc0ac5016f1c4d50b100a086526d6a2453a5444,TP,coders/miff.c,ReadMIFFImage,coders/map.c,WriteMAPImage,Unknown,Unknown
CVE-2021-20224,ImageMagick/ImageMagick,5af1dffa4b6ab984b5f13d1e91c95760d75f12a6,TP,coders/miff.c,WriteMIFFImage,MagickCore/quantum-export.c,ExportIndexQuantum,Unknown,Unknown
CVE-2020-10251,ImageMagick/ImageMagick,868aad754ee599eb7153b84d610f2ecdf7b339f6,TP,coders/flif.c,ReadFLIFImage,coders/heic.c,ReadHEICImageByID,Unknown,Unknown
CVE-2016-9298,ImageMagick/ImageMagick,3cbfb163cff9e5b8cdeace8312e9bfee810ed02b,FP,MagickCore/attribute.c,FloydSteinbergImageDepth,MagickCore/fx.c,WaveletDenoiseImage,Unknown,Unknown
CVE-2016-10050,ImageMagick/ImageMagick,139d4323c40d7363bfdd2382c3821a6f76d69430,FP,coders/mac.c,ReadMACImage,coders/rle.c,ReadRLEImage,Unknown,Unknown
CVE-2020-27768,ImageMagick/ImageMagick,95d4e94e0353e503b71a53f5e6fad173c7c70c90,FP,MagickCore/quantum-private.h,ScaleQuantumToLong,MagickCore/quantum-private.h,ScaleQuantumToMap,Unknown,Unknown
CVE-2021-20245,ImageMagick/ImageMagick,ffb683e62ddedc6436a1b88388eb690d7ca57bf2,TP,coders/flif.c,WriteFLIFImage,coders/webp.c,WriteAnimatedWEBPImage,Unknown,Unknown
CVE-2016-10064,ImageMagick/ImageMagick,63302366a63602acbaad5c8223a105811b2adddd,TP,coders/pdf.c,WritePDFImage,coders/tiff.c,ReadTIFFImage,Unknown,Unknown
CVE-2017-14174,ImageMagick/ImageMagick,04a567494786d5bb50894fc8bb8fea0cf496bea8,TP,coders/xcf.c,ReadBlobStringWithLongSize,coders/psd.c,ReadPSDLayersInternal,Unknown,Unknown
CVE-2017-14175,ImageMagick/ImageMagick,d9a8234d211da30baf9526fbebe9a8438ea7e11c,TP,coders/rgf.c,ReadRGFImage,coders/xbm.c,ReadXBMImage,Unknown,Unknown
CVE-2020-27753,ImageMagick/ImageMagick,bb3acad195de95db86c7509d8072db01890470e0,TP,coders/mpc.c,ReadMPCImage,coders/miff.c,ReadMIFFImage,Unknown,Unknown
CVE-2021-20311,ImageMagick/ImageMagick,70aa86f5d5d8aa605a918ed51f7574f433a18482,TP,MagickCore/cipher.c,SetAESKey,MagickCore/cipher.c,EncipherAESBlock,Unknown,Unknown
CVE-2017-12662,ImageMagick/ImageMagick,bd40cc5f53067322861b881485cbd70f509f3829,FP,coders/pdf.c,WritePDFImage,coders/pdf.c,WritePDFImage,Unknown,Unknown
CVE-2019-13136,ImageMagick/ImageMagick,fe5f4b85e6b1b54d3b4588a77133c06ade46d891,TP,coders/psd.c,ParseImageResourceBlocks,coders/tiff.c,TIFFSeekCustomStream,Unknown,Unknown
CVE-2017-11522,ImageMagick/ImageMagick,816ecab6c532ae086ff4186b3eaf4aa7092d536f,FP,coders/png.c,WriteOnePNGImage,coders/png.c,WriteOnePNGImage,Unknown,Unknown
CVE-2020-27752,ImageMagick/ImageMagick,a9d563d3d73874312080d30dc4ba07cecad56192,TP,coders/miff.c,WriteMIFFImage,coders/png.c,WriteOnePNGImage,Unknown,Unknown
CVE-2018-16323,ImageMagick/ImageMagick,216d117f05bff87b9dc4db55a1b1fadb38bcb786,TP,coders/jbig.c,ReadJBIGImage,coders/xbm.c,ReadXBMImage,Unknown,Unknown
CVE-2021-20311,ImageMagick/ImageMagick,70aa86f5d5d8aa605a918ed51f7574f433a18482,FP,MagickCore/identify.c,IdentifyImage,coders/thumbnail.c,WriteTHUMBNAILImage,Unknown,Unknown
CVE-2019-13307,ImageMagick/ImageMagick6,91e58d967a92250439ede038ccfb0913a81e59fe,TP,magick/quantize.c,AcquirePixelTLS,magick/statistic.c,AcquirePixelThreadSet,Unknown,Unknown
CVE-2019-15141,ImageMagick/ImageMagick6,3c53413eb544cc567309b4c86485eae43e956112,TP,coders/palm.c,WritePALMImage,coders/tiff.c,WriteTIFFImage,Unknown,Unknown
OSV-2022-1251,LibreDWG/libredwg,119ef50a0b1ef395defa5ee453acd5d3c158c638,FP,programs/dxf2dwg.c,main,examples/llvmfuzz.c,LLVMFuzzerTestOneInput,Unknown,Unknown
OSV-2023-46,LibreDWG/libredwg,80f3c7884477e84d70f31a61fa8059992040ae9a,FP,src/out_dxf.c,dxf_tables_write,src/decode_r11.c,decode_preR13_section,Unknown,Unknown
OSV-2023-42,LibreDWG/libredwg,02fd447dbbcc68d6e3cf819ccc0f8fb6c9bb07aa,FP,src/decode.c,read_R2004_section_map,src/decode.c,decode_R13_R2000,Unknown,Unknown
OSV-2023-455,LibreDWG/libredwg,aa1efabfa067d0ca63ce7a950ca4420755edadf2,FP,src/bits.c,bit_TU_to_utf8_len,src/bits.c,bit_TV_to_utf8_codepage,Unknown,Unknown
OSV-2023-1149,LibreDWG/libredwg,774894c13e511318215a888eb483d76282a18ed1,TP,src/bits.c,bit_copy_chain,src/bits.c,bit_advance_position,Unknown,Unknown
OSV-2021-543,LibreDWG/libredwg,5b27162afa44042bd43dec3fed8a1177c2c43ebb,TP,src/in_dxf.c,add_BlockParam_PropInfo,src/in_dxf.c,dxf_objects_read,Unknown,Unknown
OSV-2023-135,LibreDWG/libredwg,9a6bd55c9d0722cb101fe85a3b22d89e4ff4fe52,FP,src/in_json.c,json_string,src/in_json.c,json_fixed_string,Unknown,Unknown
CVE-2019-20911,LibreDWG/libredwg,c6f6668b82bfe595899cc820279ac37bb9ef16f5,FP,src/print.c,dwg_print_object,src/free.c,dwg_free_object,Unknown,Unknown
OSV-2022-1251,LibreDWG/libredwg,119ef50a0b1ef395defa5ee453acd5d3c158c638,FP,programs/dwgwrite.c,main,examples/llvmfuzz.c,LLVMFuzzerTestOneInput,Unknown,Unknown
OSV-2024-123,LibreDWG/libredwg,e3e4d8701fa8380ad82fa37a27720027d26ec5dc,FP,src/in_dxf.c,add_TABLEGEOMETRY_Cell,src/in_dxf.c,add_HATCH,Unknown,Unknown
CVE-2020-1927,apache/httpd,81313af01a49df05b4f7d3996ffc2b052d1638bc,FP,server/util_regex.c,ap_rxplus_compile,server/core.c,core_pre_config,Unknown,Unknown
CVE-2022-30556,apache/httpd,3a561759fcb37af179585adb8478922dc9bc6a85,FP,modules/http/http_filters.c,ap_discard_request_body,modules/lua/lua_request.c,lua_websocket_readbytes,Unknown,Unknown
CVE-2020-11993,apache/httpd,971fc8f5b5d664ddeb5d22f8adef2137c7980fc7,TP,modules/http2/h2_proxy_util.c,h2_headers_add_h1,modules/http2/h2_util.c,h2_req_add_header,Unknown,Unknown
CVE-2022-27780,curl/curl,914aaab9153764ef8fa4178215b8ad89d3ac263a,TP,lib/urlapi.c,ipv6_parse,lib/urlapi.c,hostname_check,Unknown,Unknown
OSV-2020-1080,curl/curl,25f962193574e35fe638764c3afb9d25d8a9768b,FP,lib/vssh/curl_path.c,Curl_getworkingpath,lib/curl_path.c,Curl_getworkingpath,Unknown,Unknown
CVE-2020-8231,curl/curl,3c9e021f86872baae412a427e807fbfa2f3e8a22,FP,lib/transfer.c,Curl_pretransfer,lib/url.c,Curl_open,Unknown,Unknown
CVE-2021-22876,curl/curl,7214288898f5625a6cc196e22a74232eada7861c,FP,lib/http.c,auth_spnego,lib/transfer.c,Curl_follow,Unknown,Unknown
CVE-2024-2379,curl/curl,aedbbdf18e689a5eee8dc39600914f5eda6c409c,FP,lib/cf-h2-proxy.c,cf_h2_proxy_ctx_init,lib/vquic/vquic-tls.c,curl_wssl_init_ctx,Unknown,Unknown
CVE-2023-46929,gpac/gpac,4248def5d24325aeb0e35cacde3d56c9411816a6,TP,src/media_tools/av_parsers.c,gf_hevc_change_vui,src/media_tools/av_parsers.c,gf_avc_change_vui,Unknown,Unknown
CVE-2021-31255,gpac/gpac,758135e91e623d7dfe7f6aaad7aeb3f791b7a4e5,TP,src/isomedia/box_code_adobe.c,afrt_box_read,src/isomedia/box_code_adobe.c,abst_box_read,Unknown,Unknown
CVE-2023-46928,gpac/gpac,0753bf6d867343a80a044bf47a27d0b7accc8bf1,TP,src/media_tools/isom_tools.c,gf_media_change_par,src/media_tools/isom_tools.c,gf_media_change_pl,Unknown,Unknown
CVE-2023-5377,gpac/gpac,8e9d6b38c036a97020c462ad48e1132e0ddc57ce,FP,src/isomedia/box_code_base.c,ftyp_box_write,src/isomedia/box_code_base.c,chnl_box_write,Unknown,Unknown
CVE-2021-29279,gpac/gpac,da69ad1f970a7e17c865eaec9af98cc84df10d5b,FP,src/filters/dmx_gsf.c,gsfdmx_tune,src/filters/reframe_flac.c,flac_dmx_process,Unknown,Unknown
CVE-2021-40564,gpac/gpac,cf6771c857eb9a290e2c19ddacfdd3ed98b27618,TP,src/filters/hevcsplit.c,hevcsplit_remove_slice_address,src/media_tools/av_parsers.c,avc_parse_slice,Unknown,Unknown
CVE-2021-33365,gpac/gpac,984787de3d414a5f7d43d0b4584d9469dff2a5a5,TP,src/jsmods/scene_js.c,js_scene_init,src/isomedia/isom_read.c,gf_isom_get_root_od,Unknown,Unknown
CVE-2023-4678,gpac/gpac,4607052c482a51dbdacfe1ade10645c181d07b07,TP,src/filters/reframe_flac.c,flac_dmx_process,src/filters/reframe_mhas.c,mhas_dmx_process,Unknown,Unknown
CVE-2021-31261,gpac/gpac,cd3738dea038dbd12e603ad48cd7373ae0440f65,TP,applications/testapps/hevcbench/main.c,main,src/media_tools/isom_hinter.c,gf_hinter_track_new,Unknown,Unknown
CVE-2021-31255,gpac/gpac,758135e91e623d7dfe7f6aaad7aeb3f791b7a4e5,TP,src/isomedia/box_code_adobe.c,asrt_box_read,src/isomedia/box_code_adobe.c,abst_box_read,Unknown,Unknown
CVE-2023-4678,gpac/gpac,4607052c482a51dbdacfe1ade10645c181d07b07,FP,src/filters/ff_enc.c,ffenc_process_audio,src/filters/reframe_mhas.c,mhas_dmx_process,Unknown,Unknown
CVE-2021-4043,gpac/gpac,64a2e1b799352ac7d7aad1989bc06e7b0f2b01db,FP,src/isomedia/box_code_base.c,gitn_box_write,src/isomedia/box_code_base.c,gitn_box_del,Unknown,Unknown
CVE-2020-25427,gpac/gpac,8e585e623b1d666b4ef736ed609264639cb27701,TP,src/isomedia/isom_write.c,gf_isom_apply_box_patch,src/isomedia/box_funcs.c,gf_isom_box_parse_ex,Unknown,Unknown
CVE-2024-6062,gpac/gpac,31e499d310a48bd17c8b055a0bfe0fe35887a7cd,TP,src/filters/mux_isom.c,mp4_mux_on_data_patch,src/filters/load_text.c,swf_svg_add_iso_sample,Unknown,Unknown
CVE-2021-40572,gpac/gpac,7bb1b4a4dd23c885f9db9f577dfe79ecc5433109,FP,src/media_tools/av_parsers.c,gf_iamf_reset_state,src/media_tools/av_parsers.c,gf_av1_reset_state,Unknown,Unknown
CVE-2023-48013,gpac/gpac,cd8a95c1efb8f5bfc950b86c2ef77b4c76f6b893,TP,src/filters/isoffin_read.c,isoffin_channel_switch_quality,src/filters/isoffin_read_ch.c,isor_reader_get_sample,Unknown,Unknown
CVE-2018-20763,gpac/gpac,1c449a34fe0b50aaffb881bfb9d7c5ab0bb18cdd,TP,src/scene_manager/text_to_bifs.c,gf_text_import_sub_bifs,src/media_tools/text_import.c,gf_text_get_utf8_line,Unknown,Unknown
CVE-2023-4678,gpac/gpac,4607052c482a51dbdacfe1ade10645c181d07b07,FP,src/utils/os_net.c,gf_netcap_playback,src/scene_manager/swf_parse.c,swf_def_font,Unknown,Unknown
CVE-2022-1795,gpac/gpac,c535bad50d5812d27ee5b22b54371bddec411514,TP,src/scenegraph/base_scenegraph.c,gf_sg_reset,src/bifs/memory_decoder.c,BM_ParseGlobalQuantizer,Unknown,Unknown
CVE-2021-31258,gpac/gpac,ebfa346eff05049718f7b80041093b4c5581c24e,FP,applications/mp4box/filedump.c,DumpStsdInfo,src/isomedia/isom_read.c,gf_isom_guess_specification,Unknown,Unknown
CVE-2023-23145,gpac/gpac,4ade98128cbc41d5115b97a41ca2e59529c8dd5f,TP,src/laser/lsr_dec.c,lsr_read_script_type,src/laser/lsr_dec.c,lsr_read_rare_full,Unknown,Unknown
CVE-2023-2839,gpac/gpac,047f96fb39e6bf70cb9f344093f5886e51dce0ac,FP,src/filters/reframe_nalu.c,naludmx_create_vvc_decoder_config,src/filters/reframe_nalu.c,naludmx_create_avc_decoder_config,Unknown,Unknown
OSV-2021-1330,kamailio/kamailio,bf6bd11a9b969c02a106f94ebf40cefbe8028456,TP,src/modules/rtpproxy/rtpproxy_funcs.c,check_content_type,src/core/parser/parse_content.c,parse_content_length,Unknown,Unknown
CVE-2018-8828,kamailio/kamailio,e1d8008a09d9390ebaf698abe8909e10dfec4097,FP,src/modules/presence/utils_func.h,ps_fill_local_contact,src/modules/tmx/tmx_pretran.c,tmx_check_pretran,Unknown,Unknown
OSV-2021-1202,kamailio/kamailio,17a2eec2a8e47939782c1352ddb0fa4d3e73f9d8,FP,src/core/parser/parse_addr_spec.c,parse_addr_spec,src/core/parser/parse_addr_spec.c,parse_to_param,Unknown,Unknown
CVE-2015-2304,libarchive/libarchive,59357157706d47c365b2227739e17daba3607526,TP,tar/bsdtar.c,main,cpio/cpio.c,main,Unknown,Unknown
CVE-2021-23177,libarchive/libarchive,fba4f123cc456d2b2538f811bb831483bf336bad,FP,libarchive/archive_disk_acl_sunos.c,archive_write_disk_set_acls,libarchive/archive_disk_acl_freebsd.c,archive_write_disk_set_acls,Unknown,Unknown
CVE-2022-0476,radareorg/radare2,27fe8031782d3a06c3998eaa94354867864f9f1b,TP,libr/bin/format/mdmp/mdmp.c,read_desc,libr/bin/format/mdmp/mdmp.c,read_module,Unknown,Unknown
CVE-2017-6197,radareorg/radare2,1ea23bd6040441a21fbcfba69dce9a01af03f989,TP,libr/include/r_endian.h,r_read_at_be16,libr/include/r_endian.h,r_read_at_le16,Unknown,Unknown
CVE-2018-20461,radareorg/radare2,a1bc65c3db593530775823d6d7506a457ed95267,TP,libr/core/vmenus.c,r_core_visual_bit_editor,libr/core/cmd_anal.c,core_anal_bytes,Unknown,Unknown
CVE-2021-32494,radareorg/radare2,a07dedb804a82bc01c07072861942dd80c6b6d62,TP,libr/bin/p/bin_xnu_kernelcache.c,rebase_buffer_fixup,libr/bin/p/bin_mach0.c,rebase_buffer,Unknown,Unknown
OSV-2020-7,radareorg/radare2,ee9025c9170c15dea5e68d4d5179d41e78868493,FP,libr/core/cbin.c,bin_entry,libr/core/cbin.c,bin_symbols,Unknown,Unknown
OSV-2020-1094,radareorg/radare2,45a2f03199e2cef792f3a1f621bb2df408bf7a03,FP,libr/bin/bfile.c,r_bin_file_xtr_load,libr/bin/p/bin_dex.c,dex_parse_debug_item,Unknown,Unknown
CVE-2022-1284,radareorg/radare2,64a82e284dddabaeb549228380103b57dead32a6,TP,libr/core/cmd_anal.inc.c,r_core_esil_step,libr/core/canal.c,r_core_anal_esil,Unknown,Unknown
CVE-2022-28068,radareorg/radare2,637f4bd1af6752e28e0a9998e954e2e9ce6fa992,FP,libr/bin/dwarf.c,dwarf_read_address,libr/bin/dwarf.c,dwarf_read_offset,Unknown,Unknown
CVE-2018-20461,radareorg/radare2,a1bc65c3db593530775823d6d7506a457ed95267,TP,libr/util/format2.c,r_print_format_hexpairs,libr/core/cmd_anal.c,core_anal_bytes,Unknown,Unknown
CVE-2017-15931,radareorg/radare2,c6d0076c924891ad9948a62d89d0bcdaf965f0cd,FP,libr/bin/format/elf/elf.c,_maybe_parse_aux_ver_needed_info,libr/bin/format/elf/elf.c,store_versioninfo_gnu_verneed,Unknown,Unknown
CVE-2023-27114,radareorg/radare2,a15067a8eaa836bcc24b0882712c14d1baa66509,FP,libr/arch/p/snes/snesdis.c,snesDisass,libr/arch/p/wasm/wasm.c,wasm_dis,Unknown,Unknown
CVE-2022-0519,radareorg/radare2,6c4428f018d385fc80a33ecddcb37becea685dd5,FP,shlr/java/class.c,r_bin_java_code_attr_new,shlr/java/class.c,r_bin_java_synthetic_attr_new,Unknown,Unknown
CVE-2018-12322,radareorg/radare2,bbb4af56003c1afdad67af0c4339267ca38b1017,FP,libr/arch/p/xtensa/plugin.c,xtensa_si_op,libr/anal/p/anal_6502.c,_6502_op,Unknown,Unknown
CVE-2022-0519,radareorg/radare2,6c4428f018d385fc80a33ecddcb37becea685dd5,TP,shlr/java/class.c,r_bin_java_annotation_array_new,shlr/java/class.c,r_bin_java_annotation_new,Unknown,Unknown
OSV-2020-317,radareorg/radare2,7d30ff52fc1be6f9698b166107b8981eab6ec7ba,TP,libr/core/cbin.c,bin_fields,libr/core/cbin.c,bin_symbols,Unknown,Unknown
CVE-2017-6197,radareorg/radare2,1ea23bd6040441a21fbcfba69dce9a01af03f989,TP,libr/include/r_endian.h,r_read_at_be64,libr/include/r_endian.h,r_read_at_le32,Unknown,Unknown
CVE-2021-32494,radareorg/radare2,a07dedb804a82bc01c07072861942dd80c6b6d62,FP,libr/bin/p/bin_xnu_kernelcache.c,rebase_buffer,libr/bin/p/bin_mach0.c,rebase_buffer,Unknown,Unknown
CVE-2022-1061,radareorg/radare2,d4ce40b516ffd70cf2e9e36832d8de139117d522,FP,libr/bin/format/mach0/mach0.c,mach_headerfields,libr/bin/p/bin_symbols.c,parseDragons,Unknown,Unknown
OSV-2020-523,radareorg/radare2,0e7b37601a2011c9b11112566e2d8f1b2611986d,FP,libr/main/ragg2.c,r_main_ragg2,libr/bin/p/bin_omf.c,check_buffer,Unknown,Unknown
CVE-2023-4563,torvalds/linux,24138933b97b055d486e8064b4a1721702442a9b,FP,net/netfilter/nft_set_pipapo_avx2.c,nft_pipapo_avx2_lookup,net/netfilter/nft_set_pipapo.c,pipapo_get,Unknown,Unknown
CVE-2016-10200,torvalds/linux,32c231164b762dddefa13af5a0101032c70b50ef,FP,net/llc/af_llc.c,llc_ui_autobind,net/l2tp/l2tp_ip6.c,l2tp_ip6_bind,Unknown,Unknown
CVE-2023-35823,torvalds/linux,30cf57da176cca80f11df0d9b7f71581fe601389,FP,drivers/media/pci/saa7134/saa7134-tvaudio.c,saa7134_tvaudio_close,drivers/media/pci/saa7134/saa7134-vbi.c,saa7134_vbi_fini,Unknown,Unknown
CVE-2021-47112,torvalds/linux,8b79feffeca28c5459458fe78676b081e87c93a4,TP,arch/x86/kernel/cpu/vmware.c,vmware_smp_prepare_boot_cpu,arch/x86/kernel/kvm.c,kvm_resume,Unknown,Unknown
CVE-2021-41073,torvalds/linux,16c8d2df7ec0eed31b7d3b61cb13206a7fb930cc,FP,fs/read_write.c,do_loop_readv_writev,fs/io_uring.c,loop_rw_iter,Unknown,Unknown
CVE-2022-4382,torvalds/linux,d18dcfe9860e842f394e37ba01ca9440ab2178f4,FP,arch/x86/kernel/cpu/mce/core.c,mce_device_create,drivers/usb/gadget/legacy/inode.c,gadgetfs_fill_super,Unknown,Unknown
CVE-2021-32606,torvalds/linux,2b17c400aeb44daf041627722581ade527bb3c1d,TP,net/mctp/af_mctp.c,mctp_setsockopt,net/can/isotp.c,isotp_setsockopt,Unknown,Unknown
CVE-2021-46941,torvalds/linux,f88359e1588b85cf0e8209ab7d6620085f3441d9,TP,drivers/usb/dwc3/drd.c,dwc3_otg_update,drivers/usb/dwc3/core.c,__dwc3_set_mode,Unknown,Unknown
CVE-2020-25211,torvalds/linux,1cc5ef91d2ff94d2bf2de3b3585423e8a1051cb6,TP,net/netfilter/nft_ct.c,nft_ct_timeout_obj_init,net/netfilter/nf_conntrack_netlink.c,ctnetlink_parse_tuple_filter,Unknown,Unknown
CVE-2021-26932,torvalds/linux,a35f2ef3b7376bfd0a57f7844bd7454389aae1fc,FP,arch/x86/xen/setup.c,xen_set_identity_and_release_chunk,arch/x86/xen/p2m.c,clear_foreign_p2m_mapping,Unknown,Unknown
CVE-2022-3643,torvalds/linux,ad7f402ae4f466647c3a669b8a6f3e5d4271c84a,FP,drivers/net/ethernet/marvell/octeon_ep/octep_rx.c,__octep_oq_process_rx,drivers/net/xen-netback/netback.c,xenvif_tx_submit,Unknown,Unknown
CVE-2023-52480,torvalds/linux,53ff5cf89142b978b1a5ca8dc4d4425e6a09745f,FP,fs/smb/server/connection.c,ksmbd_conn_free,fs/smb/server/connection.c,ksmbd_conn_alloc,Unknown,Unknown
CVE-2020-35513,torvalds/linux,880a3a5325489a143269a8e172e7563ebf9897bc,FP,fs/nfsd/nfssvc.c,nfsd,fs/nfsd/nfs4xdr.c,nfsd4_decode_open,Unknown,Unknown
CVE-2022-1975,torvalds/linux,4071bf121d59944d5cd2238de0642f3d7995a997,FP,net/nfc/netlink.c,nfc_genl_tm_deactivated,net/nfc/netlink.c,nfc_genl_fw_download_done,Unknown,Unknown
CVE-2020-25645,torvalds/linux,34beb21594519ce64a55a498c2fe7d567bc1ca20,TP,drivers/net/gtp.c,ip6_route_output_gtp,drivers/net/geneve.c,geneve_get_v6_dst,Unknown,Unknown
CVE-2021-3640,torvalds/linux,99c23da0eed4fd20cae8243f2b51e10e66aa0951,TP,net/ax25/af_ax25.c,ax25_sendmsg,net/bluetooth/sco.c,sco_send_frame,Unknown,Unknown
CVE-2024-26698,torvalds/linux,e0526ec5360a48ad3ab2e26e802b0532302a7e11,FP,drivers/net/ethernet/myricom/myri10ge/myri10ge.c,myri10ge_close,drivers/net/hyperv/netvsc.c,netvsc_device_remove,Unknown,Unknown
CVE-2022-0168,torvalds/linux,d6f5e358452479fa8a773b5c6ccc9e4ec5a20880,FP,drivers/net/ethernet/sfc/tc.c,efx_tc_flower_replace_foreign,fs/cifs/smb2ops.c,smb2_ioctl_query_info,Unknown,Unknown
CVE-2023-1095,torvalds/linux,580077855a40741cf511766129702d97ff02f4d9,FP,net/netfilter/nf_tables_api.c,nft_trans_rule_add,net/netfilter/nf_tables_api.c,nft_trans_alloc_gfp,Unknown,Unknown
CVE-2020-0432,torvalds/linux,4d1356ac12f4d5180d0df345d85ff0ee42b89c72,FP,drivers/nfc/st-nci/spi.c,st_nci_spi_write,drivers/staging/most/net/net.c,skb_to_mep,Unknown,Unknown
CVE-2023-6679,torvalds/linux,65c95f78917ea6fa7ff189a2c19879c4fe161873,FP,fs/nfsd/nfsctl.c,nfsd_nl_version_set_doit,drivers/dpll/dpll_netlink.c,dpll_pin_parent_pin_set,Unknown,Unknown
CVE-2023-52596,torvalds/linux,315552310c7de92baea4e570967066569937a843,FP,fs/proc/proc_sysctl.c,put_links,fs/proc/proc_sysctl.c,get_links,Unknown,Unknown
