vul_id,repo,judgement,fixed_commit_sha,target_func,target_file,vuln_type,CWE,patch_file,patch_func
OSV-2024-1427,kamailio/kamailio,FP,9c44aec667fc3c088612dd31935bce2eb082812d,nh_extract_mediaip,src/modules/nathelper/nathelper.c,Buffer Overflow,CWE-122,src/core/parser/sdp/sdp_helpr_funcs.c,extract_mediaip
CVE-2021-39923,wireshark/wireshark,FP,9104a3744e63b54b2cff3152aedeea340976355b,dissect_adb_service,epan/dissectors/packet-adb_service.c,Infinite Loop,CWE-834,epan/dissectors/packet-pnrp.c,dissect_pnrp
CVE-2024-26698,torvalds/linux,FP,e0526ec5360a48ad3ab2e26e802b0532302a7e11,nsim_del_napi,drivers/net/netdevsim/netdev.c,Race Condition,CWE-362,drivers/net/hyperv/netvsc.c,netvsc_device_remove
CVE-2023-38432,torvalds/linux,FP,2b9b8f3b68edb3d67d79962f02e26dbb5ae3808d,smb2_check_message,fs/smb/client/smb2misc.c,Out-of-bounds Read,CWE-125,fs/smb/server/smb2misc.c,ksmbd_smb2_check_message
CVE-2021-45100,torvalds/linux,FP,83912d6d55be10d65b5268d1871168b9ebe1ec4b,krb5_authenticate,fs/smb/server/smb2pdu.c,Cryptographic Issue,CWE-319,fs/ksmbd/smb2pdu.c,ntlm_authenticate
CVE-2020-26575,wireshark/wireshark,FP,3ff940652962c099b73ae3233322b8697b0d10ab,dissect_tls_handshake,epan/dissectors/packet-tls.c,Infinite Loop,CWE-835,epan/dissectors/packet-fbzero.c,dissect_fb_zero_tag
CVE-2020-27507,kamailio/kamailio,FP,ada3701d22b1fd579f06b4f54fa695fa988e685f,build_local,src/modules/tm/t_msgbuilder.c,Buffer Overflow,CWE-120,src/modules/tm/t_msgbuilder.c,build_local_reparse
CVE-2021-47029,torvalds/linux,TP,c996f0346e40e3b1ac2ebaf0681df898fb157f60,mt76_connac_mcu_sta_basic_tlv,drivers/net/wireless/mediatek/mt76/mt76_connac_mcu.c,Logic Error,CWE-703,drivers/net/wireless/mediatek/mt76/mt76_connac_mcu.c,mt76_connac_mcu_uni_add_dev
CVE-2020-25284,torvalds/linux,FP,f44d04e696feaf13d192d942c4f14ad2e117065a,rbd_image_id_show,drivers/block/rbd.c,Authorization Bypass,CWE-863,drivers/block/rbd.c,rbd_config_info_show
CVE-2021-46950,torvalds/linux,FP,2417b9869b81882ab90fd5ed1081a1cb2d4db1dd,raid10_end_write_request,drivers/md/raid10.c,Logic Error,CWE-252,drivers/md/raid1.c,raid1_end_write_request
CVE-2020-11097,FreeRDP/FreeRDP,FP,58a3122250d54de3a944c487776bcd4d1da4721e,ntlm_av_pair_check_data,winpr/libwinpr/sspi/NTLM/ntlm_av_pairs.c,Unknown,CWE-125,winpr/libwinpr/sspi/NTLM/ntlm_av_pairs.c,ntlm_av_pair_check
CVE-2021-3752,torvalds/linux,TP,1bff51ea59a9afb67d2dd78518ab0582a54a472c,l2cap_sock_alloc_skb_cb,net/bluetooth/l2cap_sock.c,Null Pointer Dereference,CWE-362,net/bluetooth/l2cap_sock.c,l2cap_sock_close_cb
CVE-2024-26723,torvalds/linux,TP,15faa1f67ab405d47789d4702f587ec7df7ef03e,lan966x_xtr_irq_handler,drivers/net/ethernet/microchip/lan966x/lan966x_main.c,Null Pointer Dereference,CWE-400,drivers/net/ethernet/microchip/lan966x/lan966x_lag.c,lan966x_lag_set_aggr_pgids
CVE-2023-51782,torvalds/linux,FP,810c38a369a0a0ce625b5c12169abce1dd9ccd53,nr_ioctl,net/netrom/af_netrom.c,Race Condition,CWE-416,net/rose/af_rose.c,rose_ioctl
CVE-2023-4722,gpac/gpac,TP,de7f3a852bef72a52825fd307cf4e8f486401a76,dasher_setup_period,src/filters/dasher.c,Unknown,CWE-190,src/filters/mux_isom.c,mp4_mux_initialize_movie
OSV-2020-628,libarchive/libarchive,补丁不存在,b625b17e6fd6e89b2f54236b402ccd3722ace2bb,DEFINE_TEST,libarchive/test/test_read_format_rar.c,Out-of-bounds Read,CWE-125,libarchive/test/test_read_format_rar5.c,DEFINE_TEST
CVE-2019-7397,ImageMagick/ImageMagick,FP,306c1f0fa5754ca78efd16ab752f0e981d4f6b82,ReadOneJNGImage,coders/png.c,Memory Leak,CWE-401,coders/pdf.c,WritePDFImage
CVE-2022-27223,torvalds/linux,TP,7f14c7227f342d9932f9b918893c8814f86d2a0d,max3420_set_clear_feature,drivers/usb/gadget/udc/max3420_udc.c,Improper Validation,CWE-129,drivers/usb/gadget/udc/udc-xilinx.c,xudc_set_clear_feature
CVE-2020-1749,torvalds/linux,FP,6c8991f41546c3c472503dff1ea9daaddf9331c2,synproxy_send_tcp_ipv6,net/netfilter/nf_synproxy_core.c,Other,CWE-319,net/core/lwt_bpf.c,bpf_lwt_xmit_reroute
CVE-2021-46950,torvalds/linux,FP,2417b9869b81882ab90fd5ed1081a1cb2d4db1dd,raid1_end_write_request,drivers/md/raid1.c,Logic Error,CWE-252,drivers/md/raid1.c,raid1_end_write_request
CVE-2022-0519,radareorg/radare2,TP,6c4428f018d385fc80a33ecddcb37becea685dd5,r_bin_java_source_code_file_attr_new,shlr/java/class.c,Out-of-bounds Read,CWE-119,shlr/java/class.c,r_bin_java_enclosing_methods_attr_new
CVE-2016-5400,torvalds/linux,FP,aa93d1fee85c890a34f2510a310e55ee76a27848,hackrf_probe,drivers/media/usb/hackrf/hackrf.c,Memory Leak,CWE-119,drivers/media/usb/airspy/airspy.c,airspy_probe
CVE-2021-47081,torvalds/linux,FP,115726c5d312b462c9d9931ea42becdfa838a076,goya_memset_device_memory,drivers/accel/habanalabs/goya/goya.c,Use After Free,CWE-416,drivers/misc/habanalabs/gaudi/gaudi.c,gaudi_memset_device_memory
CVE-2020-9430,wireshark/wireshark,FP,93d6b03a67953b82880cdbdcf0d30e2a3246d790,dissect_mac_header_generic_decoder,plugins/epan/wimax/mac_hd_generic_decoder.c,Improper Validation,CWE-20,plugins/epan/wimax/msg_dlmap.c,wimax_decode_dlmapc
CVE-2022-1122,uclouvain/openjpeg,FP,0afbdcf3e6d0d2bd2e16a0c4d513ee3cf86e460d,main,src/bin/jp2/opj_dump.c,Unknown,CWE-665,src/bin/jp2/opj_decompress.c,main
CVE-2023-52457,torvalds/linux,FP,ad90d0358bd3b4554f243a425168fc7cebe7d04e,tegra_usb_probe,drivers/usb/chipidea/ci_hdrc_tegra.c,Unknown,CWE-416,drivers/tty/serial/8250/8250_omap.c,omap8250_remove
CVE-2023-52602,torvalds/linux,TP,fa5492ee89463a7590a1449358002ff7ef63529f,dtReadNext,fs/jfs/jfs_dtree.c,Out-of-bounds Read,CWE-400,fs/jfs/jfs_dtree.c,dtSearch
CVE-2020-27765,ImageMagick/ImageMagick,FP,a4c89f2a61069ad7637bc7749cc1a839de442526,ReadSTEGANOImage,coders/stegano.c,Unknown,CWE-369,MagickCore/segment.c,Classify
CVE-2022-36123,torvalds/linux,FP,38fa5479b41376dc9d7f57e71c83514285a25ca0,early_init,arch/powerpc/kernel/early_32.c,Uninitialized Use,CWE-457,arch/x86/kernel/head64.c,clear_bss
CVE-2022-2453,gpac/gpac,TP,dc7de8d3d604426c7a6e628d90cb9fb88e7b4c2c,gf_bifs_dec_node,src/bifs/field_decode.c,Unknown,CWE-416,src/bifs/field_decode.c,BD_DecMFFieldVec
CVE-2021-47012,torvalds/linux,TP,3093ee182f01689b89e9f8797b321603e5de4f63,nvkm_mem_new_host,drivers/gpu/drm/nouveau/nvkm/subdev/mmu/mem.c,Use After Free,CWE-416,drivers/infiniband/sw/siw/siw_mem.c,siw_mr_add_mem
CVE-2021-3178,torvalds/linux,FP,51b2ee7d006a736a9126e8111d1f24e4fd0afaa6,nfsd_lookup_dentry,fs/nfsd/vfs.c,Path Traversal,CWE-22,fs/nfsd/nfs3xdr.c,compose_entry_fh
CVE-2021-46982,torvalds/linux,FP,a949dc5f2c5cfe0c910b664650f45371254c0744,redirty_blocks,fs/f2fs/file.c,Unknown,CWE-362,fs/f2fs/compress.c,prepare_compress_overwrite
CVE-2021-38091,FFmpeg/FFmpeg,FP,99f8d32129dd233d4eb2efa44678a0bc44869f23,filter_kirsch,libavfilter/vf_convolution.c,Integer Overflow,CWE-190,libavfilter/vf_convolution.c,filter_sobel
CVE-2022-1204,torvalds/linux,FP,9fd75b66b8f68498454d685dc4ba13192ae069b0,ax25_dev_device_down,net/ax25/ax25_dev.c,Use After Free,CWE-416,net/ax25/af_ax25.c,ax25_kill_by_device
CVE-2020-35519,torvalds/linux,FP,6ee50c8e262a0f0693dad264c3c99e30e6442a56,rose_bind,net/rose/af_rose.c,Out-of-bounds Read,CWE-125,net/x25/af_x25.c,x25_connect
CVE-2020-29370,torvalds/linux,FP,fd4d9c7d0c71866ec0c2825189ebd2ce35bd95b8,__slab_alloc_node,mm/slub.c,Race Condition,CWE-362,mm/slub.c,kmem_cache_alloc_bulk
CVE-2022-2308,torvalds/linux,TP,46f8a29272e51b6df7393d58fc5cb8967397ef2b,rproc_virtio_get,drivers/remoteproc/remoteproc_virtio.c,Uninitialized Use,CWE-908,drivers/vdpa/vdpa_user/vduse_dev.c,vduse_vdpa_get_config
CVE-2021-30014,gpac/gpac,FP,51cdb67ff7c5f1242ac58c5aa603ceaf1793b788,vvc_parse_slice,src/media_tools/av_parsers.c,Out-of-bounds Read,CWE-190,src/media_tools/av_parsers.c,vvc_parse_picture_header
CVE-2021-47015,torvalds/linux,FP,bbd6f0a948139970f4a615dff189d9a503681a39,bnxt_poll_nitroa0,drivers/net/ethernet/broadcom/bnxt/bnxt.c,Logic Error,CWE-682,drivers/net/ethernet/broadcom/bnxt/bnxt.c,bnxt_rx_pkt
CVE-2024-26667,torvalds/linux,TP,7f3d03c48b1eb6bc45ab20ca98b8b11be25f9f52,dpu_encoder_phys_vid_setup_timing_engine,drivers/gpu/drm/msm/disp/dpu1/dpu_encoder_phys_vid.c,Null Pointer Dereference,CWE-459,drivers/gpu/drm/msm/disp/dpu1/dpu_encoder.c,dpu_encoder_helper_phys_cleanup
CVE-2021-47126,torvalds/linux,FP,821bbf79fe46a8b1d18aa456e8ed0a3c208c3754,fib_create_info,net/ipv4/fib_semantics.c,Unknown,CWE-125,net/ipv6/route.c,ip6_route_info_create
CVE-2017-11448,ImageMagick/ImageMagick,FP,f6463ca9588579633bbaed9460899d892aa3c64a,ReadMGKImage,www/source/mgk.c,Uninitialized Use,CWE-200,coders/jpeg.c,ReadJPEGImage
CVE-2016-6491,ImageMagick/ImageMagick,TP,dd84447b63a71fa8c3f47071b09454efc667767b,TraceSVGClippath,MagickCore/property.c,Out-of-bounds Read,CWE-125,MagickCore/property.c,Get8BIMProperty
CVE-2020-20896,FFmpeg/FFmpeg,FP,dd01947397b98e94c3f2a79d5820aaf4594f4d3b,adts_write_packet,libavformat/adtsenc.c,Null Pointer Dereference,CWE-476,libavformat/latmenc.c,latm_write_packet
OSV-2023-1051,LibreDWG/libredwg,TP,5b4c2fce7262b2bec00fa679e472559ab268d0c7,dwg_decode_unknown_bits,src/decode.c,Unknown,CWE-476,src/decode.c,dwg_decode_unknown_rest
CVE-2022-21385,torvalds/linux,FP,ea010070d0a7497253d5a6f919f6dd107450b31a,rds_rdma_bytes,net/rds/send.c,Logic Error,CWE-367,net/rds/send.c,rds_rm_size
CVE-2020-22035,FFmpeg/FFmpeg,FP,8c9ff740a35d6f46935f70e4a9533dddaaf33788,block_matching_multi,libavfilter/vf_bm3d.c,Buffer Overflow,CWE-787,libavfilter/vf_bm3d.c,filter_slice
CVE-2023-52603,torvalds/linux,TP,27e56f59bab5ddafbcfe69ad7a4a6ea1279c1b16,dtExtendPage,fs/jfs/jfs_dtree.c,Out-of-bounds Read,CWE-129,fs/jfs/jfs_dtree.c,dtSplitRoot
CVE-2020-11647,wireshark/wireshark,FP,6f56fc9496db158218243ea87e3660c874a0bab0,fComplexAckPDU,epan/dissectors/packet-bacapp.c,Recursion Error,CWE-674,epan/dissectors/packet-bacapp.c,dissect_bacapp
CVE-2021-47146,torvalds/linux,FP,020ef930b826d21c5446fdc9db80fd72a791bc21,mld_newpack,net/ipv6/mcast.c,Logic Error,CWE-119,net/ipv6/mcast.c,mld_newpack
CVE-2023-52502,torvalds/linux,TP,31c07dffafce914c1d1543c135382a11ff058d93,__smc_lgr_terminate,net/smc/smc_core.c,Race Condition,CWE-362,net/nfc/llcp_core.c,nfc_llcp_sock_get
CVE-2021-33630,torvalds/linux,FP,3e8b9bfa110896f95d602d8c98d5f9d67e41d78c,taprio_destroy,net/sched/sch_taprio.c,Null Pointer Dereference,CWE-476,net/sched/sch_cbs.c,cbs_destroy
CVE-2023-3291,gpac/gpac,FP,6a748ccc3f76ff10e3ae43014967ea4b0c088aaf,svgin_process,src/filters/load_svg.c,Buffer Overflow,CWE-122,src/filters/reframe_mp3.c,id3dmx_flush
CVE-2024-26725,torvalds/linux,FP,53c0441dd2c44ee93fddb5473885fd41e4bc2361,dpll_nl_pin_get_dumpit,drivers/dpll/dpll_netlink.c,Deadlock,CWE-667,drivers/dpll/dpll_netlink.c,dpll_nl_pin_get_dumpit
CVE-2017-6197,radareorg/radare2,TP,1ea23bd6040441a21fbcfba69dce9a01af03f989,r_read_be32,libr/include/r_endian.h,Null Pointer Dereference,CWE-476,libr/include/r_endian.h,r_read_le32
CVE-2016-3137,torvalds/linux,FP,c55aee1bf0e6b6feec8b2927b43f7a09a6d5f754,garmin_init_session,drivers/usb/serial/garmin_gps.c,Null Pointer Dereference,CWE-476,drivers/usb/serial/cypress_m8.c,cypress_open
CVE-2023-1654,gpac/gpac,TP,2c055153d401b8c49422971e3a0159869652d3da,gf_filter_pck_send_internal,src/filter_core/filter_pck.c,Unknown,CWE-400,src/filter_core/filter_pid.c,gf_filter_pid_inst_del
CVE-2024-26598,torvalds/linux,FP,ad362fe07fecf0aba839ff2cc59a3617bd42c33f,vgic_its_trigger_msi,arch/arm64/kvm/vgic/vgic-its.c,Use After Free,CWE-416,arch/arm64/kvm/vgic/vgic-its.c,vgic_its_inject_cached_translation
CVE-2024-36617,FFmpeg/FFmpeg,FP,d973fcbcc2f944752ff10e6a76b0b2d9329937a7,avi_read_header,libavformat/avidec.c,Integer Overflow,CWE-190,libavformat/cafdec.c,read_pakt_chunk
OSV-2020-560,radareorg/radare2,FP,d7fd30df8ef0f1a9081863b91a0197f26408dc6b,cmd_debug_modules,libr/core/cmd_debug.inc.c,Unknown,CWE-20,libr/core/cbin.c,bin_symbols
CVE-2022-28072,radareorg/radare2,TP,027cd9b7274988bb1af866539ba6c2fa2ff63e45,disassemble,libr/arch/p/bpf/plugin.c,Out-of-bounds Read,CWE-787,libr/anal/p/anal_hexagon.c,hexagon_v6_op
CVE-2021-47015,torvalds/linux,FP,bbd6f0a948139970f4a615dff189d9a503681a39,bnxt_force_rx_discard,drivers/net/ethernet/broadcom/bnxt/bnxt.c,Logic Error,CWE-682,drivers/net/ethernet/broadcom/bnxt/bnxt.c,bnxt_rx_pkt
CVE-2024-26698,torvalds/linux,FP,e0526ec5360a48ad3ab2e26e802b0532302a7e11,dpaa2_dpseci_disable,drivers/crypto/caam/caamalg_qi2.c,Race Condition,CWE-362,drivers/net/hyperv/netvsc.c,netvsc_device_remove
CVE-2024-1085,torvalds/linux,FP,b1db244ffd041a49ecc9618e8feb6b5c1afcdaa7,nft_set_catchall_flush,net/netfilter/nf_tables_api.c,Double Free,CWE-416,net/netfilter/nf_tables_api.c,nft_setelem_catchall_deactivate
OSV-2022-656,LibreDWG/libredwg,FP,9d068534eb093790d9be1b8aa8ed47cafc7f2285,bit_write_BB,src/bits.c,Buffer Overflow,CWE-125,src/bits.c,bit_read_RC
CVE-2019-19036,torvalds/linux,TP,62fdaa52a3d00a875da771719b6dc537ca79fce1,btrfs_validate_extent_buffer,fs/btrfs/disk-io.c,Out-of-bounds Read,CWE-476,fs/btrfs/disk-io.c,btrfs_verify_level_key
CVE-2018-16645,ImageMagick/ImageMagick,FP,ecb31dbad39ccdc65868d5d2a37f0f0521250832,ReadBMPImage,coders/bmp.c,Resource Exhaustion,CWE-770,coders/bmp.c,ReadBMPImage
CVE-2022-47942,torvalds/linux,TP,8f0541186e9ad1b62accc9519cc2b7a7240272a7,parse_sec_desc,fs/smb/client/cifsacl.c,Buffer Overflow,CWE-787,fs/ksmbd/smbacl.c,smb_inherit_dacl
CVE-2022-1035,gpac/gpac,TP,3718d583c6ade191dc7979c64f48c001ca6f0243,StatNodeGraph,src/scene_manager/scene_stats.c,Null Pointer Dereference,CWE-476,src/scene_manager/scene_dump.c,gf_dump_vrml_simple_field
CVE-2023-5377,gpac/gpac,FP,8e9d6b38c036a97020c462ad48e1132e0ddc57ce,pssh_box_write,src/isomedia/box_code_drm.c,Out-of-bounds Read,CWE-125,src/isomedia/box_code_base.c,chnl_box_write
CVE-2019-20911,LibreDWG/libredwg,FP,c6f6668b82bfe595899cc820279ac37bb9ef16f5,dwg_json_object,src/out_json.c,Infinite Loop,CWE-835,src/free.c,dwg_free_object
CVE-2022-28073,radareorg/radare2,FP,59a9dfb60acf8b5c0312061cffd9693fc9526053,cmd_debug_reg,libr/core/cmd_debug.inc.c,Use After Free,CWE-416,libr/core/cmd_anal.c,cmd_anal_reg
CVE-2020-24020,FFmpeg/FFmpeg,TP,584f396132aa19d21bb1e38ad9a5d428869290cb,allocate_input_tensor,libavfilter/dnn/dnn_backend_tf.c,Buffer Overflow,CWE-120,libavfilter/dnn/dnn_backend_native.c,calculate_operand_data_length
CVE-2018-16323,ImageMagick/ImageMagick,TP,216d117f05bff87b9dc4db55a1b1fadb38bcb786,ReadJBIGImage,coders/jbig.c,Uninitialized Use,CWE-200,coders/xbm.c,ReadXBMImage
CVE-2023-0047,torvalds/linux,FP,60e2793d440a3ec95abb5d6d4fc034a4b480472d,__alloc_pages_may_oom,mm/page_alloc.c,Logic Error,CWE-703,mm/oom_kill.c,pagefault_out_of_memory
CVE-2020-0444,torvalds/linux,TP,2ad3e17ebf94b7b7f3f64c050ff168f9915345eb,audit_dupe_rule,kernel/auditfilter.c,Logic Error,CWE-763,kernel/auditfilter.c,audit_data_to_entry
CVE-2019-19947,torvalds/linux,TP,da2311a6385c3b499da2ed5d9be59ce331fa93e9,kvaser_usb_leaf_set_bittiming,drivers/net/can/usb/kvaser_usb/kvaser_usb_leaf.c,Uninitialized Use,CWE-908,drivers/net/can/usb/kvaser_usb/kvaser_usb_leaf.c,kvaser_usb_leaf_set_opt_mode
CVE-2024-26692,torvalds/linux,FP,4860abb91f3d7fbaf8147d54782149bb1fc45892,nfs_fs_context_parse_param,fs/nfs/fs_context.c,Unknown,CWE-787,fs/smb/client/fs_context.c,smb3_fs_context_parse_param
CVE-2021-47024,torvalds/linux,FP,8432b8114957235f42e070a16118a7f750de9d39,hvs_do_close_lock_held,net/vmw_vsock/hyperv_transport.c,Memory Leak,CWE-401,net/vmw_vsock/virtio_transport_common.c,virtio_transport_do_close
