vul_id,repo,fixed_commit_sha,target_file,target_func,judgement,comment,vuln_type,CWE,patch_file,patch_func
CVE-2020-24020,FFmpeg/FFmpeg,584f396132aa19d21bb1e38ad9a5d428869290cb,libavfilter/dnn/dnn_backend_tf.c,allocate_input_tensor,TP,,Integer Overflow,CWE-120,libavfilter/dnn/dnn_backend_native.c,calculate_operand_data_length
CVE-2021-38093,FFmpeg/FFmpeg,99f8d32129dd233d4eb2efa44678a0bc44869f23,libavfilter/vf_convolution.c,filter16_kirsch,FP,,Integer Overflow,CWE-190,libavfilter/vf_convolution.c,filter_prewitt
CVE-2022-3965,FFmpeg/FFmpeg,13c13109759090b7f7182480d075e13b36ed8edd,libavcodec/vb.c,vb_decode_framedata,FP,,Out-of-bounds Read,CWE-119,libavcodec/smcenc.c,smc_encode_stream
CVE-2022-3965,FFmpeg/FFmpeg,13c13109759090b7f7182480d075e13b36ed8edd,libavcodec/rpza.c,rpza_decode_stream,FP,,Out-of-bounds Read,CWE-119,libavcodec/smcenc.c,smc_encode_stream
CVE-2022-3965,FFmpeg/FFmpeg,13c13109759090b7f7182480d075e13b36ed8edd,libavcodec/smc.c,smc_decode_stream,FP,,Out-of-bounds Read,CWE-119,libavcodec/smcenc.c,smc_encode_stream
CVE-2023-47470,FFmpeg/FFmpeg,4565747056a11356210ed8edcecb920105e40b60,libavcodec/cbs_h266_syntax_template.c,sps,没有这个函数,,Buffer Overflow,CWE-787,libavcodec/evc_ps.c,ff_evc_parse_sps
CVE-2024-36615,FFmpeg/FFmpeg,0ba058579f332b3060d8470a04ddd3fbf305be61,libavcodec/vp9.c,vp9_decode_frame,FP,,Race Condition,CWE-362,libavcodec/vp9.c,vp9_decode_frame
CVE-2024-36619,FFmpeg/FFmpeg,28c7094b25b689185155a6833caf2747b94774a4,libavcodec/g729postfilter.c,residual_filter,FP,,Integer Overflow,CWE-190,libavcodec/wavarc.c,decode_5elp
CVE-2024-36619,FFmpeg/FFmpeg,28c7094b25b689185155a6833caf2747b94774a4,libavcodec/truespeech.c,truespeech_synth,FP,,Integer Overflow,CWE-190,libavcodec/wavarc.c,decode_5elp
CVE-2020-11048,FreeRDP/FreeRDP,9301bfe730c66180263248b74353daa99f5a969b,libfreerdp/crypto/er.c,er_read_length,TP,但是是死代码，不存在调用链,Out-of-bounds Read,CWE-125,libfreerdp/core/rdp.c,rdp_read_flow_control_pdu
CVE-2020-11098,FreeRDP/FreeRDP,c0fd449ec0870b050d350d6d844b1ea6dad4bc7d,libfreerdp/cache/glyph.c,glyph_cache_get,TP,,Out-of-bounds Read,CWE-125,libfreerdp/cache/glyph.c,glyph_cache_put
CVE-2022-39347,FreeRDP/FreeRDP,027424c2c6c0991cb9c22f9511478229c9b17e5d,channels/drive/client/drive_file.c,drive_file_set_rename_information,FP,,Path Traversal,CWE-22,channels/drive/client/drive_file.c,drive_file_new
CVE-2024-32661,FreeRDP/FreeRDP,71e463e31b4d69f4022d36bfc814592f56600793,libfreerdp/core/info.c,rdp_write_logon_info_v2,TP,,Null Pointer Dereference,CWE-476,libfreerdp/core/info.c,rdp_write_logon_info_v1
CVE-2020-10251,ImageMagick/ImageMagick,868aad754ee599eb7153b84d610f2ecdf7b339f6,coders/uhdr.c,ReadUHDRImage,TP,,Out-of-bounds Read,CWE-125,coders/heic.c,ReadHEICImageByID
CVE-2020-10251,ImageMagick/ImageMagick,868aad754ee599eb7153b84d610f2ecdf7b339f6,coders/pcd.c,ReadPCDImage,FP,,Out-of-bounds Read,CWE-125,coders/heic.c,ReadHEICImageByID
CVE-2020-25664,ImageMagick/ImageMagick,1f450bb5ba53d275de6d1cd086c98a0b549ad393,coders/png.c,WriteOnePNGImage,函数太大了，不好分析,,Buffer Overflow,CWE-122,coders/png.c,WriteOnePNGImage
CVE-2020-25664,ImageMagick/ImageMagick,1f450bb5ba53d275de6d1cd086c98a0b549ad393,coders/png.c,ReadOnePNGImage,函数太大了，不好分析,,Buffer Overflow,CWE-122,coders/png.c,WriteOnePNGImage
CVE-2020-25664,ImageMagick/ImageMagick,1f450bb5ba53d275de6d1cd086c98a0b549ad393,coders/miff.c,WriteMIFFImage,FP,,Buffer Overflow,CWE-122,coders/png.c,WriteOnePNGImage
CVE-2020-25664,ImageMagick/ImageMagick,1f450bb5ba53d275de6d1cd086c98a0b549ad393,coders/pdb.c,WritePDBImage,FP,,Buffer Overflow,CWE-122,coders/png.c,WriteOnePNGImage
CVE-2020-25666,ImageMagick/ImageMagick,94691f00839dbdf43edb1508af945ab19b388573,MagickCore/xwindow.c,PopularityCompare,TP,,Integer Overflow,CWE-190,MagickCore/histogram.c,HistogramCompare
CVE-2020-25666,ImageMagick/ImageMagick,94691f00839dbdf43edb1508af945ab19b388573,MagickCore/quantize.c,DominantColorCompare,TP,,Integer Overflow,CWE-190,MagickCore/histogram.c,HistogramCompare
CVE-2020-25675,ImageMagick/ImageMagick,64dc80b2e1907f7f20bf34d4df9483f938b0de71,MagickCore/shear.c,CropToFitImage,FP,,Integer Overflow,CWE-190,MagickCore/transform.c,CropImageToTiles
CVE-2020-25675,ImageMagick/ImageMagick,64dc80b2e1907f7f20bf34d4df9483f938b0de71,MagickCore/display.c,XCropImage,TP,,Integer Overflow,CWE-190,MagickCore/transform.c,CropImageToTiles
CVE-2020-25676,ImageMagick/ImageMagick,406da3af9e09649cda152663c179902edf5ab3ac,MagickCore/pixel.c,InterpolatePixelChannel,FP,,Integer Overflow,CWE-190,MagickCore/pixel.c,InterpolatePixelChannel
CVE-2020-25676,ImageMagick/ImageMagick,406da3af9e09649cda152663c179902edf5ab3ac,MagickCore/pixel.c,InterpolatePixelChannels,FP,,Integer Overflow,CWE-190,MagickCore/pixel.c,InterpolatePixelChannels
CVE-2020-25676,ImageMagick/ImageMagick,406da3af9e09649cda152663c179902edf5ab3ac,MagickCore/annotate.c,RenderFreetype,函数太大了，不好分析,,Integer Overflow,CWE-190,MagickCore/pixel.c,ConstrainPixelOffset
CVE-2020-27750,ImageMagick/ImageMagick,a81ca9a1b46a96be83682af3389f0a6f3d0d389d,MagickWand/pixel-iterator.c,PixelGetPreviousIteratorRow,FP,,Divide By Zero,CWE-369,MagickWand/pixel-iterator.c,PixelSyncIterator
CVE-2020-27750,ImageMagick/ImageMagick,a81ca9a1b46a96be83682af3389f0a6f3d0d389d,MagickWand/pixel-iterator.c,PixelGetNextIteratorRow,FP,,Divide By Zero,CWE-369,MagickWand/pixel-iterator.c,PixelSyncIterator
CVE-2020-27750,ImageMagick/ImageMagick,a81ca9a1b46a96be83682af3389f0a6f3d0d389d,MagickWand/pixel-iterator.c,PixelGetCurrentIteratorRow,FP,,Divide By Zero,CWE-369,MagickWand/pixel-iterator.c,PixelSyncIterator
CVE-2020-27756,ImageMagick/ImageMagick,f35eca82b0c294ff9d0ccad104a881c3ae2ba913,MagickCore/geometry.c,ParseGravityGeometry,TP,,Divide By Zero,CWE-369,MagickCore/geometry.c,ParseMetaGeometry
CVE-2020-27759,ImageMagick/ImageMagick,d44f8a35558951a21367d306a42e5a097f3a43fe,MagickCore/colormap.c,IntensityCompare,TP,,Integer Overflow,CWE-190,MagickCore/quantize.c,IntensityCompare
CVE-2020-27770,ImageMagick/ImageMagick,be90a5395695f0d19479a5d46b06c678be7f7927,MagickCore/string.c,SubstituteString,FP,,Integer Overflow,CWE-190,MagickCore/string.c,SubstituteString
CVE-2020-27771,ImageMagick/ImageMagick,872ffe6d0131beec8b47568a4874ffaca91a872e,coders/sun.c,WriteSUNImage,TP,,Integer Overflow,CWE-190,coders/pdf.c,WritePDFImage
CVE-2020-27829,ImageMagick/ImageMagick,6ee5059cd3ac8d82714a1ab1321399b88539abf0,coders/tiff.c,ReadTIFFImage,TP,,Buffer Overflow,CWE-122,coders/tiff.c,ReadTIFFImage
CVE-2021-20224,ImageMagick/ImageMagick,5af1dffa4b6ab984b5f13d1e91c95760d75f12a6,coders/pnm.c,WritePNMImage,TP,,Integer Overflow,CWE-190,MagickCore/quantum-export.c,ExportIndexQuantum
CVE-2021-20245,ImageMagick/ImageMagick,ffb683e62ddedc6436a1b88388eb690d7ca57bf2,coders/flif.c,WriteFLIFImage,TP,,Divide By Zero,CWE-369,coders/webp.c,WriteAnimatedWEBPImage
CVE-2021-3962,ImageMagick/ImageMagick,82775af03bbb10a0a1d0e15c0156c75673b4525e,coders/dcm.c,ReadDCMImage,FP,,Use After Free,CWE-416,coders/dcm.c,ReadDCMImage
CVE-2022-0284,ImageMagick/ImageMagick,e50f19fd73c792ebe912df8ab83aa51a243a3da7,MagickCore/xwindow.c,XDrawImage,TP,,Out-of-bounds Read,CWE-125,coders/xpm.c,WritePICONImage
CVE-2022-1115,ImageMagick/ImageMagick,c8718305f120293d8bf13724f12eed885d830b09,coders/tiff.c,ReadTIFFImage,TP,,Buffer Overflow,CWE-787,coders/tiff.c,ReadTIFFImage
CVE-2022-2719,ImageMagick/ImageMagick,716496e6df0add89e9679d6da9c0afca814cfe49,coders/dcm.c,ReadDCMImage,,,Logic Error,CWE-617,coders/tim2.c,ReadTIM2Image
CVE-2022-2719,ImageMagick/ImageMagick,716496e6df0add89e9679d6da9c0afca814cfe49,MagickWand/mogrify.c,MogrifyImageList,,,Logic Error,CWE-617,MagickWand/operation.c,CLINoImageOperator
CVE-2022-28463,ImageMagick/ImageMagick,ca3654ebf7a439dc736f56f083c9aa98e4464b7f,coders/dpx.c,ReadDPXImage,TP,,Buffer Overflow,CWE-120,coders/cin.c,ReadCINImage
CVE-2022-3213,ImageMagick/ImageMagick,30ccf9a0da1f47161b5935a95be854fe84e6c2a2,coders/tiff.c,ReadTIFFImage,TP,,Buffer Overflow,CWE-787,coders/tiff.c,ReadTIFFImage
CVE-2023-1289,ImageMagick/ImageMagick,c5b23cbf2119540725e6dc81f4deb25798ead6a4,MagickCore/draw.c,DrawPrimitive,TP,,Recursion Error,CWE-20,MagickCore/draw.c,DrawPrimitive
CVE-2023-3195,ImageMagick/ImageMagick,f620340935777b28fa3f7b0ed7ed6bd86946934c,coders/tiff.c,ReadTIFFImage,TP,,Buffer Overflow,CWE-787,coders/tiff.c,ReadTIFFImage
OSV-2021-577,LibreDWG/libredwg,035876226d3eadd4e5e47b06fe34e3aa858b6406,src/in_dxf.c,new_table_control,FP,,Type Confusion,CWE-843,src/in_dxf.c,new_object
OSV-2021-814,LibreDWG/libredwg,0a390fa7291ee439d2bb2bed998e76302e539b77,src/in_dxf.c,new_object,TP,,Type Confusion,CWE-843,src/in_dxf.c,dxf_tables_read
OSV-2022-377,LibreDWG/libredwg,580e8bbebf18579b97e2c20b032368b9079624ca,src/decode_r11.c,decode_preR13_section_hdr,FP,,Buffer Overflow,CWE-122,src/decode_r11.c,decode_preR13_section_hdr
OSV-2022-377,LibreDWG/libredwg,580e8bbebf18579b97e2c20b032368b9079624ca,src/encode.c,dwg_encode,FP,,Buffer Overflow,CWE-122,src/encode.c,dwg_encode
OSV-2022-377,LibreDWG/libredwg,580e8bbebf18579b97e2c20b032368b9079624ca,src/encode.c,encode_r11_auxheader,FP,,Buffer Overflow,CWE-122,src/encode.c,dwg_encode
OSV-2022-656,LibreDWG/libredwg,9d068534eb093790d9be1b8aa8ed47cafc7f2285,src/bits.c,bit_read_BB,TP,,Buffer Overflow,CWE-122,src/bits.c,bit_read_RC
OSV-2022-656,LibreDWG/libredwg,9d068534eb093790d9be1b8aa8ed47cafc7f2285,src/bits.c,bit_read_RC,FP,,Buffer Overflow,CWE-122,src/bits.c,bit_read_RC
OSV-2023-1048,LibreDWG/libredwg,ebe9ce3797a524793217acbc3f54e404745d91d3,src/decode.c,decode_preR13_entities,TP,,Buffer Overflow,CWE-122,src/decode.c,decode_preR13_entities
OSV-2023-1048,LibreDWG/libredwg,ebe9ce3797a524793217acbc3f54e404745d91d3,src/encode.c,dwg_encode_add_object,FP,,Buffer Overflow,CWE-122,src/decode.c,decode_preR13_entities
OSV-2023-1048,LibreDWG/libredwg,ebe9ce3797a524793217acbc3f54e404745d91d3,src/decode.c,decode_R13_R2000,FP,,Buffer Overflow,CWE-122,src/decode.c,decode_preR13_entities
OSV-2023-1051,LibreDWG/libredwg,5b4c2fce7262b2bec00fa679e472559ab268d0c7,src/decode.c,decode_preR13_entities,TP,,Buffer Overflow,CWE-122,src/decode_r11.c,decode_preR13_section
OSV-2023-1051,LibreDWG/libredwg,5b4c2fce7262b2bec00fa679e472559ab268d0c7,src/decode.c,dwg_decode_unknown_bits,TP,,Buffer Overflow,CWE-122,src/decode.c,dwg_decode_unknown_rest
OSV-2023-1110,LibreDWG/libredwg,c8dd9c66bca793aaf3029d1eda50b06828ae14f2,src/in_json.c,_set_struct_field,TP,,Type Confusion,CWE-843,src/in_json.c,json_HEADER
OSV-2023-1110,LibreDWG/libredwg,c8dd9c66bca793aaf3029d1eda50b06828ae14f2,src/in_dxf.c,new_object,FP,,Type Confusion,CWE-843,src/in_json.c,json_HEADER
OSV-2023-284,LibreDWG/libredwg,0ce8315eb9c45a6967d9578c7e51ae1d6d639166,src/codepages.c,dwg_codepage_iconvstr,FP,,Out-of-bounds Read,CWE-125,src/codepages.c,dwg_codepage_dxfstr
CVE-2020-11993,apache/httpd,971fc8f5b5d664ddeb5d22f8adef2137c7980fc7,modules/http2/h2_proxy_util.c,h2_headers_add_h1,TP,,Improper Validation,CWE-444,modules/http2/h2_util.c,h2_req_add_header
CVE-2020-13950,apache/httpd,ccc2e4c751826ff296df01428d42c4a40918110d,modules/proxy/mod_proxy_ajp.c,ap_proxy_ajp_request,FP,,Null Pointer Dereference,CWE-476,modules/proxy/mod_proxy_http.c,spool_reqbody_cl
CVE-2021-33193,apache/httpd,ecebcc035ccd8d0e2984fe41420d9e944f456b3c,server/vhost.c,update_server_from_aliases,FP,,Improper Validation,CWE-444,server/vhost.c,update_server_from_aliases
CVE-2021-33193,apache/httpd,ecebcc035ccd8d0e2984fe41420d9e944f456b3c,server/vhost.c,ap_update_vhost_from_headers_ex,FP,,Improper Validation,CWE-444,server/vhost.c,ap_update_vhost_from_headers_ex
CVE-2021-33193,apache/httpd,ecebcc035ccd8d0e2984fe41420d9e944f456b3c,modules/http2/h2_proxy_session.c,open_stream,FP,,Improper Validation,CWE-444,server/vhost.c,ap_update_vhost_from_headers_ex
CVE-2021-33193,apache/httpd,ecebcc035ccd8d0e2984fe41420d9e944f456b3c,modules/http2/h2_request.c,assign_headers,FP,,Improper Validation,CWE-444,server/vhost.c,ap_update_vhost_from_headers_ex
CVE-2021-39275,apache/httpd,e0fec7d48dab1924c5a6b48819ce1cf420733f62,server/util.c,regsub_core,FP,,Buffer Overflow,CWE-787,server/util.c,ap_escape_quotes
CVE-2020-8286,curl/curl,d9d01672785b8ac04aab1abb6de95fe3072ae199,lib/vtls/gtls.c,Curl_gtls_verifyserver,TP,,Improper Validation,CWE-295,lib/vtls/openssl.c,verifystatus
CVE-2021-22946,curl/curl,364f174724ef115c63d5e5dc1d3342c8a43b1cca,lib/smtp.c,smtp_state_ehlo_resp,FP,,Unknown,CWE-319,lib/pop3.c,pop3_state_capa_resp
CVE-2021-22946,curl/curl,364f174724ef115c63d5e5dc1d3342c8a43b1cca,lib/imap.c,imap_state_capability_resp,FP,,Unknown,CWE-319,lib/pop3.c,pop3_state_capa_resp
CVE-2021-22946,curl/curl,364f174724ef115c63d5e5dc1d3342c8a43b1cca,lib/imap.c,imap_state_starttls_resp,FP,,Unknown,CWE-319,lib/imap.c,imap_state_capability_resp
CVE-2021-22946,curl/curl,364f174724ef115c63d5e5dc1d3342c8a43b1cca,lib/imap.c,imap_pp_statemachine,FP,,Unknown,CWE-319,lib/ftp.c,ftp_statemachine
CVE-2023-23914,curl/curl,076a2f629119222aeeb50f5a03bf9f9052fabb9a,lib/url.c,Curl_close,FP,,Logic Error,CWE-319,lib/setopt.c,Curl_vsetopt
CVE-2024-7264,curl/curl,27959ecce75cdb2809c0bdb3286e60e08fadb519,tests/unit/unit1656.c,do_test,FP,,Out-of-bounds Read,CWE-125,tests/unit/unit1656.c,do_test
CVE-2024-7264,curl/curl,27959ecce75cdb2809c0bdb3286e60e08fadb519,lib/vtls/x509asn1.c,UTime2str,FP,,Out-of-bounds Read,CWE-125,lib/vtls/x509asn1.c,GTime2str
CVE-2024-9681,curl/curl,a94973805df96269bf3f3bf0a20ccb9887313316,lib/hsts.c,hsts_add,FP,,Logic Error,CWE-697,lib/hsts.c,hsts_add
CVE-2024-9681,curl/curl,a94973805df96269bf3f3bf0a20ccb9887313316,lib/hsts.c,Curl_hsts_parse,FP,,Logic Error,CWE-697,lib/hsts.c,hsts_add
CVE-2021-4209,gnutls/gnutls,3db352734472d851318944db13be73da61300568,lib/accelerated/x86/sha-x86-ssse3.c,wrap_x86_hash_fast,TP,,Null Pointer Dereference,CWE-476,lib/nettle/mac.c,wrap_nettle_hash_fast
CVE-2021-4209,gnutls/gnutls,3db352734472d851318944db13be73da61300568,lib/accelerated/aarch64/sha-aarch64.c,wrap_aarch64_hash_fast,TP,,Null Pointer Dereference,CWE-476,lib/nettle/mac.c,wrap_nettle_hash_fast
CVE-2021-4209,gnutls/gnutls,3db352734472d851318944db13be73da61300568,lib/nettle/mac.c,wrap_nettle_mac_fast,TP,,Null Pointer Dereference,CWE-476,lib/nettle/mac.c,wrap_nettle_hash_fast
CVE-2021-4209,gnutls/gnutls,3db352734472d851318944db13be73da61300568,lib/accelerated/aarch64/hmac-sha-aarch64.c,wrap_aarch64_hmac_fast,TP,,Null Pointer Dereference,CWE-476,lib/nettle/mac.c,wrap_nettle_hash_fast
CVE-2020-19488,gpac/gpac,6170024568f4dda310e98ef7508477b425c58d09,src/isomedia/box_code_apple.c,ilst_box_read,TP,,Null Pointer Dereference,CWE-476,src/isomedia/box_code_apple.c,ilst_item_box_read
CVE-2020-23931,gpac/gpac,093283e727f396130651280609e687cd4778e0d1,src/isomedia/box_code_adobe.c,asrt_box_read,FP,,Out-of-bounds Read,CWE-125,src/isomedia/box_code_adobe.c,abst_box_read
CVE-2020-23932,gpac/gpac,ce01bd15f711d4575b7424b54b3a395ec64c1784,applications/mp4box/filedump.c,dump_isom_rtp,TP,,Null Pointer Dereference,CWE-476,applications/mp4box/filedump.c,dump_isom_sdp
CVE-2021-30014,gpac/gpac,51cdb67ff7c5f1242ac58c5aa603ceaf1793b788,src/filters/hevcsplit.c,hevcsplit_remove_slice_address,TP,,Out-of-bounds Read,CWE-190,src/media_tools/av_parsers.c,hevc_parse_slice_segment
CVE-2021-30014,gpac/gpac,51cdb67ff7c5f1242ac58c5aa603ceaf1793b788,src/filters/hevcmerge.c,hevcmerge_rewrite_slice,TP,,Out-of-bounds Read,CWE-190,src/media_tools/av_parsers.c,hevc_parse_slice_segment
CVE-2021-30014,gpac/gpac,51cdb67ff7c5f1242ac58c5aa603ceaf1793b788,src/filters/bs_split.c,bs_split_check_svc_config,TP,,Out-of-bounds Read,CWE-190,src/media_tools/av_parsers.c,gf_avc_read_sps_bs_internal
CVE-2021-30015,gpac/gpac,13dad7d5ef74ca2e6fe4010f5b03eb12e9bbe0ec,src/filters/write_generic.c,writegen_flush_ttml,TP,,Null Pointer Dereference,CWE-476,src/filters/reframe_av1.c,av1dmx_parse_flush_sample
CVE-2021-31257,gpac/gpac,87afe070cd6866df7fe80f11b26ef75161de85e0,applications/mp4box/mp4box.c,check_media_profile,TP,,Null Pointer Dereference,CWE-476,applications/mp4box/main.c,HintFile
CVE-2021-31258,gpac/gpac,ebfa346eff05049718f7b80041093b4c5581c24e,applications/mp4box/mp4box.c,check_media_profile,TP,,Null Pointer Dereference,CWE-476,src/isomedia/isom_read.c,gf_isom_guess_specification
CVE-2021-31260,gpac/gpac,df8fffd839fe5ae9acd82d26fd48280a397411d9,src/isomedia/isom_write.c,gf_isom_copy_sample_info,TP,,Null Pointer Dereference,CWE-476,src/isomedia/track.c,MergeTrack
CVE-2021-31260,gpac/gpac,df8fffd839fe5ae9acd82d26fd48280a397411d9,src/isomedia/isom_read.c,gf_isom_enum_sample_aux_data,TP,,Null Pointer Dereference,CWE-476,src/isomedia/track.c,MergeTrack
CVE-2021-31261,gpac/gpac,cd3738dea038dbd12e603ad48cd7373ae0440f65,applications/testapps/hevcbench/main.c,main,TP,好像有点难触发,Null Pointer Dereference,CWE-119,src/media_tools/isom_hinter.c,gf_hinter_track_new
CVE-2021-32136,gpac/gpac,eb71812fcc10e9c5348a5d1c61bd25b6fa06eaed,applications/mp4box/filedump.c,DumpMovieInfo,TP,,Out-of-bounds Read,CWE-787,applications/mp4box/filedump.c,print_udta
CVE-2021-33361,gpac/gpac,a51f951b878c2b73c1d8e2f1518c7cdc5fb82c3f,src/isomedia/box_code_base.c,leva_box_read,FP,,Memory Leak,CWE-401,src/isomedia/box_code_adobe.c,afra_box_read
CVE-2021-4043,gpac/gpac,64a2e1b799352ac7d7aad1989bc06e7b0f2b01db,src/isomedia/box_code_base.c,gitn_box_size,FP,,Null Pointer Dereference,CWE-476,src/isomedia/box_code_base.c,gitn_box_del
CVE-2021-4043,gpac/gpac,64a2e1b799352ac7d7aad1989bc06e7b0f2b01db,src/isomedia/box_code_base.c,gitn_box_write,FP,,Null Pointer Dereference,CWE-476,src/isomedia/box_code_base.c,gitn_box_del
CVE-2021-4043,gpac/gpac,64a2e1b799352ac7d7aad1989bc06e7b0f2b01db,src/isomedia/box_code_base.c,segr_box_del,TP,,Null Pointer Dereference,CWE-476,src/isomedia/box_code_base.c,gitn_box_del
CVE-2021-4043,gpac/gpac,64a2e1b799352ac7d7aad1989bc06e7b0f2b01db,src/isomedia/box_dump.c,gitn_box_dump,FP,,Null Pointer Dereference,CWE-476,src/isomedia/box_code_base.c,gitn_box_del
CVE-2021-40564,gpac/gpac,cf6771c857eb9a290e2c19ddacfdd3ed98b27618,src/filters/hevcsplit.c,hevcsplit_remove_slice_address,TP,,Out-of-bounds Read,CWE-476,src/media_tools/av_parsers.c,avc_parse_slice
CVE-2021-40564,gpac/gpac,cf6771c857eb9a290e2c19ddacfdd3ed98b27618,src/filters/hevcmerge.c,hevcmerge_rewrite_slice,TP,,Out-of-bounds Read,CWE-476,src/media_tools/av_parsers.c,avc_parse_slice
CVE-2021-40568,gpac/gpac,f1ae01d745200a258cdf62622f71754c37cb6c30,src/filters/hevcsplit.c,hevcsplit_remove_slice_address,TP,类型好像标错了,Integer Overflow,CWE-120,src/media_tools/av_parsers.c,svc_parse_slice
CVE-2021-40568,gpac/gpac,f1ae01d745200a258cdf62622f71754c37cb6c30,src/filters/hevcmerge.c,hevcmerge_rewrite_slice,TP,类型好像标错了,Integer Overflow,CWE-120,src/media_tools/av_parsers.c,svc_parse_slice
CVE-2021-40574,gpac/gpac,30ac5e5236b790accd1f25347eebf2dc8c6c1bcb,src/scene_manager/text_to_bifs.c,gf_text_import_sub_bifs,TP,,Buffer Overflow,CWE-415,src/filters/load_text.c,gf_text_process_sub
CVE-2021-40576,gpac/gpac,ad18ece95fa064efc0995c4ab2c985f77fb166ec,src/isomedia/hint_track.c,gf_isom_setup_hint_track,FP,,Null Pointer Dereference,CWE-476,src/isomedia/hint_track.c,GetHintFormat
CVE-2022-1035,gpac/gpac,3718d583c6ade191dc7979c64f48c001ca6f0243,src/scene_manager/scene_dump.c,gf_dump_vrml_field,TP,,Null Pointer Dereference,CWE-476,src/scene_manager/scene_dump.c,gf_dump_vrml_simple_field
CVE-2022-1795,gpac/gpac,c535bad50d5812d27ee5b22b54371bddec411514,src/scenegraph/base_scenegraph.c,gf_sg_reset,TP,,Use After Free,CWE-416,src/bifs/memory_decoder.c,BM_ParseGlobalQuantizer
CVE-2022-1795,gpac/gpac,c535bad50d5812d27ee5b22b54371bddec411514,src/scenegraph/dom_events.c,gf_sg_fire_dom_event,FP,,Use After Free,CWE-416,src/bifs/memory_decoder.c,BM_ParseGlobalQuantizer
CVE-2022-2453,gpac/gpac,dc7de8d3d604426c7a6e628d90cb9fb88e7b4c2c,src/bifs/field_encode.c,gf_bifs_enc_mf_field,TP,,Use After Free,CWE-416,src/bifs/field_decode.c,BD_DecMFFieldVec
CVE-2022-4202,gpac/gpac,b3d821c4ae9ba62b3a194d9dcb5e99f17bd56908,src/laser/lsr_dec.c,lsr_read_private_element_container,FP,有别的漏洞,Integer Overflow,CWE-189,src/laser/lsr_dec.c,lsr_read_extend_class
CVE-2023-23143,gpac/gpac,af6a5e7a96ee01a139cce6c9e4edfc069aad17a6,src/filters/hevcsplit.c,hevcsplit_remove_slice_address,TP,,Buffer Overflow,CWE-120,src/media_tools/av_parsers.c,svc_parse_slice
CVE-2023-23143,gpac/gpac,af6a5e7a96ee01a139cce6c9e4edfc069aad17a6,src/filters/hevcmerge.c,hevcmerge_rewrite_slice,TP,,Buffer Overflow,CWE-120,src/media_tools/av_parsers.c,svc_parse_slice
CVE-2023-23144,gpac/gpac,3a2458a49b3e6399709d456d7b35e7a6f50cfb86,src/bifs/quantize.c,Q_EncCoordOnUnitSphere,TP,,Integer Overflow,CWE-190,src/bifs/unquantize.c,Q_DecCoordOnUnitSphere
CVE-2023-2839,gpac/gpac,047f96fb39e6bf70cb9f344093f5886e51dce0ac,src/filters/reframe_nalu.c,naludmx_create_hevc_decoder_config,TP,,Divide By Zero,CWE-369,src/filters/reframe_nalu.c,naludmx_create_avc_decoder_config
