vul_id,repo,fixed_commit_sha,patch_file,patch_func,target_file,target_func,reason,judgement
CVE-2023-0866,gpac/gpac,b964fe4226f1424cf676d5822ef898b6b01f5937,reframe_adts.c,adts_dmx_check_dur;adts_dmx_process,gpac/src/filters/reframe_adts.c,adts_dmx_check_dur,,FP
CVE-2024-26672,torvalds/linux,4f32504a2f85a7b40fe149436881381f48e9c0c0,amdgpu_mca.c,amdgpu_mca_smu_debug_mode_set,drivers/gpu/drm/amd/amdgpu/amdgpu_mca.c,amdgpu_mca_smu_debug_mode_set,函数名相同,FP
CVE-2024-26672,torvalds/linux,4f32504a2f85a7b40fe149436881381f48e9c0c0,amdgpu_mca.c,amdgpu_mca_smu_get_mca_entry;amdgpu_mca_smu_debug_mode_set,drivers/gpu/drm/amd/amdgpu/amdgpu_mca.c,amdgpu_mca_smu_debug_mode_set,,FP
CVE-2021-47017,torvalds/linux,8392df5d7e0b6a7d21440da1fc259f9938f4dec3,htc.c,ath10k_htc_send_bundle;ath10k_htc_send_one_skb,drivers/net/wireless/ath/ath10k/htc.c,ath10k_htc_send_one_skb,,FP
CVE-2021-47017,torvalds/linux,8392df5d7e0b6a7d21440da1fc259f9938f4dec3,htc.c,ath10k_htc_send_one_skb,drivers/net/wireless/ath/ath10k/htc.c,ath10k_htc_send_one_skb,函数名相同,FP
CVE-2017-14166,libarchive/libarchive,fa7438a0ff4033e4741c807394a9af6207940d71,archive_read_support_format_xar.c,atol8,libarchive/libarchive/archive_write_add_filter_uuencode.c,atol8,函数名相同,FP
CVE-2022-2964,torvalds/linux,57bc3d3ae8c14df3ceb4e17d26ddf9eeab304581,ax88179_178a.c,ax88179_rx_fixup;ax88179_tx_fixup,drivers/net/usb/ax88179_178a.c,ax88179_tx_fixup,,FP
CVE-2022-2964,torvalds/linux,57bc3d3ae8c14df3ceb4e17d26ddf9eeab304581,ax88179_178a.c,ax88179_tx_fixup,drivers/net/usb/ax88179_178a.c,ax88179_tx_fixup,函数名相同,FP
CVE-2024-26792,torvalds/linux,e2b54eaf28df0c978626c9736b94f003b523b451,disk-io.c,btrfs_get_new_fs_root,fs/btrfs/disk-io.c,btrfs_get_new_fs_root,函数名相同,FP
CVE-2024-26792,torvalds/linux,e2b54eaf28df0c978626c9736b94f003b523b451,disk-io.c,btrfs_get_root_ref;btrfs_get_fs_root;btrfs_get_new_fs_root,fs/btrfs/disk-io.c,btrfs_get_new_fs_root,,FP
CVE-2023-2176,torvalds/linux,8d037973d48c026224ab285e6a06985ccac6f7bf,cma.c,cma_bind_addr;rdma_resolve_addr;resolve_prepare_src;rdma_bind_addr;cma_format_hdr;rdma_bind_addr_dst,drivers/infiniband/core/cma.c,cma_format_hdr,,FP
CVE-2023-2176,torvalds/linux,8d037973d48c026224ab285e6a06985ccac6f7bf,cma.c,cma_format_hdr,drivers/infiniband/core/cma.c,cma_format_hdr,函数名相同,FP
CVE-2023-0760,gpac/gpac,ea7395f39f601a7750d48d606e9d10ea0b7beefe,box_code_base.c,dac3_box_write,gpac/src/isomedia/box_code_base.c,dac3_box_write,函数名相同,FP
CVE-2023-0760,gpac/gpac,ea7395f39f601a7750d48d606e9d10ea0b7beefe,box_code_base.c,video_sample_entry_box_size;dac3_box_write;sgpd_parse_entry,gpac/src/isomedia/box_code_base.c,dac3_box_write,,FP
CVE-2021-46982,torvalds/linux,a949dc5f2c5cfe0c910b664650f45371254c0744,compress.c,f2fs_prepare_compress_overwrite,fs/f2fs/compress.c,f2fs_prepare_compress_overwrite,函数名相同,FP
CVE-2021-46982,torvalds/linux,a949dc5f2c5cfe0c910b664650f45371254c0744,compress.c,f2fs_put_rpages_mapping;prepare_compress_overwrite;f2fs_prepare_compress_overwrite,fs/f2fs/compress.c,f2fs_prepare_compress_overwrite,,FP
CVE-2024-26640,torvalds/linux,577e4432f3ac810049cb7e6b71f4d96ec7c6e894,tcp.c,can_map_frag;find_next_mappable_frag,net/ipv4/tcp.c,find_next_mappable_frag,,FP
CVE-2024-26640,torvalds/linux,577e4432f3ac810049cb7e6b71f4d96ec7c6e894,tcp.c,find_next_mappable_frag,net/ipv4/tcp.c,find_next_mappable_frag,函数名相同,FP
CVE-2022-0523,radareorg/radare2,35482cb760db10f87a62569e2f8872dbd95e9269,marshal.c,get_array_object_generic;get_tuple_object;get_list_object;get_set_object;get_ascii_object_generic,libr/bin/format/pyc/marshal.c,get_ascii_object_generic,,FP
CVE-2022-0523,radareorg/radare2,35482cb760db10f87a62569e2f8872dbd95e9269,marshal.c,get_ascii_object_generic,libr/bin/format/pyc/marshal.c,get_ascii_object_generic,函数名相同,FP
CVE-2022-36123,torvalds/linux,38fa5479b41376dc9d7f57e71c83514285a25ca0,head64.c,get_cmd_line_ptr,arch/x86/kernel/head64.c,get_cmd_line_ptr,函数名相同,FP
CVE-2022-36123,torvalds/linux,38fa5479b41376dc9d7f57e71c83514285a25ca0,head64.c,get_cmd_line_ptr;clear_bss,arch/x86/kernel/head64.c,get_cmd_line_ptr,,FP
CVE-2022-2453,gpac/gpac,dc7de8d3d604426c7a6e628d90cb9fb88e7b4c2c,field_decode.c,BD_DecMFFieldVec;gf_bifs_check_field_change,gpac/src/bifs/field_decode.c,gf_bifs_check_field_change,,FP
CVE-2022-2453,gpac/gpac,dc7de8d3d604426c7a6e628d90cb9fb88e7b4c2c,field_decode.c,gf_bifs_check_field_change,gpac/src/bifs/field_decode.c,gf_bifs_check_field_change,函数名相同,FP
CVE-2024-24267,gpac/gpac,d28d9ba45cf4f628a7b2c351849a895e6fcf2234,os_file.c,gf_fileio_from_blob,gpac/src/utils/os_file.c,gf_fileio_from_blob,函数名相同,FP
CVE-2024-24267,gpac/gpac,d28d9ba45cf4f628a7b2c351849a895e6fcf2234,os_file.c,gf_fileio_from_blob;gf_fileio_from_mem,gpac/src/utils/os_file.c,gf_fileio_from_blob,,FP
CVE-2023-0760,gpac/gpac,ea7395f39f601a7750d48d606e9d10ea0b7beefe,box_funcs.c,gf_isom_box_parse_ex;gf_isom_check_position;gf_isom_box_write,gpac/src/isomedia/box_funcs.c,gf_isom_box_write,,FP
CVE-2023-0760,gpac/gpac,ea7395f39f601a7750d48d606e9d10ea0b7beefe,box_funcs.c,gf_isom_box_write,gpac/src/isomedia/box_funcs.c,gf_isom_box_write,函数名相同,FP
CVE-2023-0760,gpac/gpac,ea7395f39f601a7750d48d606e9d10ea0b7beefe,box_funcs.c,gf_isom_box_parse_ex;gf_isom_check_position;gf_isom_box_write,gpac/src/isomedia/box_funcs.c,gf_isom_check_position,,FP
CVE-2023-0760,gpac/gpac,ea7395f39f601a7750d48d606e9d10ea0b7beefe,box_funcs.c,gf_isom_check_position,gpac/src/isomedia/box_funcs.c,gf_isom_check_position,函数名相同,FP
CVE-2023-0760,gpac/gpac,ea7395f39f601a7750d48d606e9d10ea0b7beefe,isom_read.c,gf_isom_get_sample_for_media_time;gf_isom_get_track_switch_parameter;gf_isom_get_sample_cenc_info_internal,gpac/src/isomedia/isom_read.c,gf_isom_get_track_switch_parameter,,FP
CVE-2023-0760,gpac/gpac,ea7395f39f601a7750d48d606e9d10ea0b7beefe,isom_read.c,gf_isom_get_track_switch_parameter,gpac/src/isomedia/isom_read.c,gf_isom_get_track_switch_parameter,函数名相同,FP
CVE-2023-46927,gpac/gpac,a7b467b151d9b54badbc4dd71e7a366b7c391817,isom_write.c,gf_isom_set_root_iod,gpac/src/isomedia/isom_write.c,gf_isom_set_root_iod,函数名相同,FP
CVE-2023-46927,gpac/gpac,a7b467b151d9b54badbc4dd71e7a366b7c391817,isom_write.c,gf_isom_set_root_iod;gf_isom_new_track_from_template;gf_isom_use_compact_size;gf_isom_apple_set_tag;get_sgdp;gf_isom_update_sample_description_from_template,gpac/src/isomedia/isom_write.c,gf_isom_set_root_iod,,FP
CVE-2023-46927,gpac/gpac,a7b467b151d9b54badbc4dd71e7a366b7c391817,isom_write.c,gf_isom_set_root_iod;gf_isom_new_track_from_template;gf_isom_use_compact_size;gf_isom_apple_set_tag;get_sgdp;gf_isom_update_sample_description_from_template,gpac/src/isomedia/isom_write.c,gf_isom_update_sample_description_from_template,,FP
CVE-2023-46927,gpac/gpac,a7b467b151d9b54badbc4dd71e7a366b7c391817,isom_write.c,gf_isom_update_sample_description_from_template,gpac/src/isomedia/isom_write.c,gf_isom_update_sample_description_from_template,函数名相同,FP
CVE-2023-46928,gpac/gpac,0753bf6d867343a80a044bf47a27d0b7accc8bf1,isom_tools.c,gf_media_make_isma,gpac/src/media_tools/isom_tools.c,gf_media_make_isma,函数名相同,FP
CVE-2023-46928,gpac/gpac,0753bf6d867343a80a044bf47a27d0b7accc8bf1,isom_tools.c,gf_media_make_isma;gf_media_change_pl,gpac/src/media_tools/isom_tools.c,gf_media_make_isma,,FP
CVE-2023-4678,gpac/gpac,4607052c482a51dbdacfe1ade10645c181d07b07,swf_parse.c,swf_def_font;gf_swf_get_duration;gf_swf_read_header,gpac/src/scene_manager/swf_parse.c,gf_swf_get_duration,,FP
CVE-2021-4043,gpac/gpac,64a2e1b799352ac7d7aad1989bc06e7b0f2b01db,box_code_base.c,gitn_box_del;gitn_box_read,gpac/src/isomedia/box_code_base.c,gitn_box_read,,FP
CVE-2021-4043,gpac/gpac,64a2e1b799352ac7d7aad1989bc06e7b0f2b01db,box_code_base.c,gitn_box_read,gpac/src/isomedia/box_code_base.c,gitn_box_read,函数名相同,FP
CVE-2021-3732,torvalds/linux,427215d85e8d1476da1a86b8d67aceb485eb3631,namespace.c,clone_private_mount;__do_loopback;has_locked_children,fs/namespace.c,has_locked_children,,FP
CVE-2024-26801,torvalds/linux,2449007d3f73b2842c9734f45f0aadb522daf592,hci_core.c,hci_error_reset;hci_uuids_clear,net/bluetooth/hci_core.c,hci_uuids_clear,,FP
CVE-2024-26801,torvalds/linux,2449007d3f73b2842c9734f45f0aadb522daf592,hci_core.c,hci_uuids_clear,net/bluetooth/hci_core.c,hci_uuids_clear,函数名相同,FP
OSV-2024-951,gpac/gpac,7ff782d744c6e8e996f5a702842437d4ff637f55,av_parsers.c,hevc_ref_pic_lists_modification,gpac/src/media_tools/av_parsers.c,hevc_ref_pic_lists_modification,,FP
OSV-2024-951,gpac/gpac,7ff782d744c6e8e996f5a702842437d4ff637f55,av_parsers.c,hevc_ref_pic_lists_modification,gpac/src/media_tools/av_parsers.c,hevc_ref_pic_lists_modification,函数名相同,FP
CVE-2020-0431,torvalds/linux,4f3882177240a1f55e45a3d241d3121341bead78,hid-input.c,hidinput_configure_usage;hidinput_handle_scroll,drivers/hid/hid-input.c,hidinput_handle_scroll,,FP
CVE-2020-0431,torvalds/linux,4f3882177240a1f55e45a3d241d3121341bead78,hid-input.c,hidinput_handle_scroll,drivers/hid/hid-input.c,hidinput_handle_scroll,函数名相同,FP
CVE-2021-37159,torvalds/linux,a6ecfb39ba9d7316057cea823b196b734f6b18ca,hso.c,hso_create_net_device;hso_free_tiomget,drivers/net/usb/hso.c,hso_free_tiomget,,FP
CVE-2021-37159,torvalds/linux,a6ecfb39ba9d7316057cea823b196b734f6b18ca,hso.c,hso_free_tiomget,drivers/net/usb/hso.c,hso_free_tiomget,函数名相同,FP
CVE-2021-47024,torvalds/linux,8432b8114957235f42e070a16118a7f750de9d39,virtio_transport_common.c,virtio_transport_do_close,net/vmw_vsock/hyperv_transport.c,hvs_do_close_lock_held,"函数名不同, 但是函数体完全相同, 只有注释不同",FP
CVE-2022-42719,torvalds/linux,ff05d4b45dd89b922578dac497dcabf57cf771c6,util.c,ieee80211_regulatory_limit_wmm_params,net/mac80211/util.c,ieee80211_regulatory_limit_wmm_params,函数名相同,FP
CVE-2022-42719,torvalds/linux,ff05d4b45dd89b922578dac497dcabf57cf771c6,util.c,ieee802_11_parse_elems_full;ieee80211_regulatory_limit_wmm_params,net/mac80211/util.c,ieee80211_regulatory_limit_wmm_params,,FP
CVE-2023-6932,torvalds/linux,e2b706c691905fe78468c361aaabc719d0a496f1,igmp.c,igmp_gq_start_timer,net/ipv4/igmp.c,igmp_gq_start_timer,函数名相同,FP
CVE-2023-6932,torvalds/linux,e2b706c691905fe78468c361aaabc719d0a496f1,igmp.c,igmp_gq_start_timer;igmp_start_timer,net/ipv4/igmp.c,igmp_gq_start_timer,,FP
CVE-2022-1012,torvalds/linux,b2d057560b8107c633b39aabe517ff9d93f285e3,inet6_hashtables.c,inet6_sk_port_offset,net/ipv6/inet6_hashtables.c,inet6_sk_port_offset,函数名相同,FP
CVE-2022-1012,torvalds/linux,b2d057560b8107c633b39aabe517ff9d93f285e3,inet6_hashtables.c,inet6_sk_port_offset;inet6_hash_connect,net/ipv6/inet6_hashtables.c,inet6_sk_port_offset,,FP
CVE-2022-1012,torvalds/linux,b2d057560b8107c633b39aabe517ff9d93f285e3,inet_hashtables.c,inet_sk_port_offset,net/ipv4/inet_hashtables.c,inet_sk_port_offset,函数名相同,FP
CVE-2022-1012,torvalds/linux,b2d057560b8107c633b39aabe517ff9d93f285e3,inet_hashtables.c,inet_sk_port_offset;__inet_hash_connect;inet_hash_connect,net/ipv4/inet_hashtables.c,inet_sk_port_offset,,FP
CVE-2024-26785,torvalds/linux,cf7c2789822db8b5efa34f5ebcf1621bc0008d48,selftest.c,iommufd_test_syz_conv_iova;iommufd_test_syz_conv_iova_id;iommufd_test_access_pages;iommufd_test_access_rw;__iommufd_test_syz_conv_iova,drivers/iommu/iommufd/selftest.c,iommufd_test_syz_conv_iova,,FP
CVE-2024-26631,torvalds/linux,2e7ef287f07c74985f1bf2858bedc62bd9ebf155,mcast.c,ipv6_mc_reset,net/ipv6/mcast.c,ipv6_mc_reset,函数名相同,FP
CVE-2024-26631,torvalds/linux,2e7ef287f07c74985f1bf2858bedc62bd9ebf155,mcast.c,ipv6_mc_reset;ipv6_mc_down,net/ipv6/mcast.c,ipv6_mc_reset,,FP
CVE-2023-2156,torvalds/linux,4e006c7a6dac0ead4c1bf606000aa90a372fc253,rpl.c,ipv6_rpl_srh_decompress,net/ipv6/rpl.c,ipv6_rpl_srh_decompress,函数名相同,FP
CVE-2023-2156,torvalds/linux,4e006c7a6dac0ead4c1bf606000aa90a372fc253,rpl.c,ipv6_rpl_srh_decompress;ipv6_rpl_srh_size,net/ipv6/rpl.c,ipv6_rpl_srh_decompress,,FP
CVE-2021-32606,torvalds/linux,2b17c400aeb44daf041627722581ade527bb3c1d,isotp.c,isotp_bind;isotp_setsockopt;isotp_getsockopt;isotp_setsockopt_locked,net/can/isotp.c,isotp_getsockopt,,FP
CVE-2021-32606,torvalds/linux,2b17c400aeb44daf041627722581ade527bb3c1d,isotp.c,isotp_getsockopt,net/can/isotp.c,isotp_getsockopt,函数名相同,FP
CVE-2021-47060,torvalds/linux,5d3c4c79384af06e3c8e25b7770b6247496b4417,kvm_main.c,kvm_io_bus_get_dev,virt/kvm/kvm_main.c,kvm_io_bus_get_dev,函数名相同,FP
CVE-2021-47060,torvalds/linux,5d3c4c79384af06e3c8e25b7770b6247496b4417,kvm_main.c,kvm_io_bus_unregister_dev;kvm_io_bus_get_dev,virt/kvm/kvm_main.c,kvm_io_bus_get_dev,,FP
CVE-2023-39189,torvalds/linux,f4f8a7803119005e87b716874bec07c751efafec,nfnetlink_osf.c,nfnl_osf_add_callback,net/netfilter/nfnetlink_osf.c,list_for_each_entry,函数名相同,FP
CVE-2021-20261,torvalds/linux,a0c80efe5956ccce9fe7ae5c78542578c07bc20a,floppy.c,lock_fdc,drivers/block/floppy.c,lock_fdc,函数名相同,FP
CVE-2021-20261,torvalds/linux,a0c80efe5956ccce9fe7ae5c78542578c07bc20a,floppy.c,lock_fdc;do_format;user_reset_fdc;set_geometry;get_floppy_geometry;fd_locked_ioctl;floppy_check_events;floppy_revalidate,drivers/block/floppy.c,lock_fdc,,FP
CVE-2022-3903,torvalds/linux,41fd1cb6151439b205ac7611883d85ae14250172,mceusb.c,mceusb_gen1_init;mceusb_gen2_init,drivers/media/rc/mceusb.c,mceusb_gen2_init,,FP
CVE-2022-3903,torvalds/linux,41fd1cb6151439b205ac7611883d85ae14250172,mceusb.c,mceusb_gen2_init,drivers/media/rc/mceusb.c,mceusb_gen2_init,函数名相同,FP
CVE-2024-25744,torvalds/linux,b82a8dbd3d2f4563156f7150c6f2ecab6e960b30,mem_encrypt_amd.c,mem_encrypt_free_decrypted_mem,arch/x86/mm/mem_encrypt_amd.c,mem_encrypt_free_decrypted_mem,函数名相同,FP
CVE-2024-25744,torvalds/linux,b82a8dbd3d2f4563156f7150c6f2ecab6e960b30,mem_encrypt_amd.c,mem_encrypt_free_decrypted_mem;sme_early_init,arch/x86/mm/mem_encrypt_amd.c,mem_encrypt_free_decrypted_mem,,FP
CVE-2023-52494,torvalds/linux,eff9704f5332a13b08fbdbe0f84059c9e7051d5f,main.c,is_valid_ring_ptr;mhi_destroy_device,drivers/bus/mhi/host/main.c,mhi_destroy_device,,FP
CVE-2023-52494,torvalds/linux,eff9704f5332a13b08fbdbe0f84059c9e7051d5f,main.c,mhi_destroy_device,drivers/bus/mhi/host/main.c,mhi_destroy_device,函数名相同,FP
CVE-2023-3117,torvalds/linux,1240eb93f0616b21c675416516ff3d74798fdc97,nf_tables_api.c,nf_tables_newrule,net/netfilter/nf_tables_api.c,nf_tables_newrule,,FP
CVE-2022-2078,torvalds/linux,fecf31ee395b0295f2d7260aa29946b7605f7c85,nf_tables_api.c,nft_set_desc_concat_parse;nft_set_desc_concat;nf_tables_set_desc_parse,net/netfilter/nf_tables_api.c,nf_tables_set_desc_parse,,FP
CVE-2023-39189,torvalds/linux,f4f8a7803119005e87b716874bec07c751efafec,nfnetlink_osf.c,nfnl_osf_add_callback,net/netfilter/nfnetlink_osf.c,nfnl_osf_add_callback,,FP
CVE-2023-32233,torvalds/linux,c1592a89942e9678f7d9c8030efa777c0d57edab,nft_objref.c,nft_objref_map_activate;nft_objref_map_destroy,net/netfilter/nft_objref.c,nft_objref_map_destroy,,FP
CVE-2021-46992,torvalds/linux,a54754ec9891830ba548e2010c889e3c8146e449,nft_set_hash.c,nft_hash_buckets;nft_rhash_estimate,net/netfilter/nft_set_hash.c,nft_rhash_estimate,,FP
CVE-2021-46992,torvalds/linux,a54754ec9891830ba548e2010c889e3c8146e449,nft_set_hash.c,nft_rhash_estimate,net/netfilter/nft_set_hash.c,nft_rhash_estimate,函数名相同,FP
CVE-2023-52581,torvalds/linux,cf5000a7787cbc10341091d37245a42c119d26c5,nf_tables_api.c,nft_trans_gc_queue_async;nft_trans_gc_queue_sync;nft_trans_gc_queue_sync_done,net/netfilter/nf_tables_api.c,nft_trans_gc_queue_sync_done,,FP
CVE-2023-52581,torvalds/linux,cf5000a7787cbc10341091d37245a42c119d26c5,nf_tables_api.c,nft_trans_gc_queue_sync_done,net/netfilter/nf_tables_api.c,nft_trans_gc_queue_sync_done,函数名相同,FP
CVE-2023-3117,torvalds/linux,1240eb93f0616b21c675416516ff3d74798fdc97,nf_tables_api.c,nf_tables_newrule,net/netfilter/nf_tables_api.c,nla_for_each_nested,,FP
CVE-2024-26587,torvalds/linux,ea937f77208323d35ffe2f8d8fc81b00118bfcda,netdev.c,nsim_destroy;nsim_validate;nsim_exit_netdevsim,drivers/net/netdevsim/netdev.c,nsim_validate,,FP
CVE-2024-26587,torvalds/linux,ea937f77208323d35ffe2f8d8fc81b00118bfcda,netdev.c,nsim_validate,drivers/net/netdevsim/netdev.c,nsim_validate,函数名相同,FP
CVE-2018-8789,FreeRDP/FreeRDP,2ee663f39dc8dac3d9988e847db19b2d7e3ac8c6,ntlm_message.c,ntlm_free_message_fields_buffer,FreeRDP/winpr/libwinpr/sspi/NTLM/ntlm_message.c,ntlm_free_message_fields_buffer,函数名相同,FP
CVE-2023-6931,torvalds/linux,382c27f4ed28f803b1f1473ac2d8db0afc795a1b,core.c,__perf_event_read_size;perf_event__header_size;perf_event_validate_size;perf_group_attach,kernel/events/core.c,perf_group_attach,,FP
CVE-2023-6931,torvalds/linux,382c27f4ed28f803b1f1473ac2d8db0afc795a1b,core.c,perf_group_attach,kernel/events/core.c,perf_group_attach,函数名相同,FP
CVE-2023-5717,torvalds/linux,32671e3799ca2e4590773fd0e63aaa4229e50c06,core.c,perf_group_attach;perf_group_detach;__perf_read_group_add;perf_read_group;inherit_group,kernel/events/core.c,perf_read_group,,FP
CVE-2023-5717,torvalds/linux,32671e3799ca2e4590773fd0e63aaa4229e50c06,core.c,perf_read_group,kernel/events/core.c,perf_read_group,函数名相同,FP
CVE-2020-25643,torvalds/linux,66d42ed8b25b64eb63111a2b8582c5afc8bf1105,hdlc_ppp.c,ppp_cp_parse_cr;ppp_rx,drivers/net/wan/hdlc_ppp.c,ppp_rx,,FP
CVE-2020-25643,torvalds/linux,66d42ed8b25b64eb63111a2b8582c5afc8bf1105,hdlc_ppp.c,ppp_rx,drivers/net/wan/hdlc_ppp.c,ppp_rx,函数名相同,FP
CVE-2024-26742,torvalds/linux,5761eb9761d2d5fe8248a9b719efc4d8baf1f24a,smartpqi_init.c,pqi_is_tape_changer_device,drivers/scsi/smartpqi/smartpqi_init.c,pqi_is_tape_changer_device,函数名相同,FP
CVE-2024-26742,torvalds/linux,5761eb9761d2d5fe8248a9b719efc4d8baf1f24a,smartpqi_init.c,pqi_is_tape_changer_device;pqi_map_queues,drivers/scsi/smartpqi/smartpqi_init.c,pqi_is_tape_changer_device,,FP
CVE-2020-0430,torvalds/linux,58990d1ff3f7896ee341030e9a7c2e4002570683,test_verifier.c,probe_filter_length,tools/testing/selftests/bpf/test_verifier.c,probe_filter_length,函数名相同,FP
CVE-2023-52445,torvalds/linux,ded85b0c0edd8f45fec88783d7555a5b982449c1,pvrusb2-context.c,pvr2_channel_init,drivers/media/usb/pvrusb2/pvrusb2-context.c,pvr2_channel_init,函数名相同,FP
CVE-2023-52445,torvalds/linux,ded85b0c0edd8f45fec88783d7555a5b982449c1,pvrusb2-context.c,pvr2_channel_init;pvr2_context_disconnect,drivers/media/usb/pvrusb2/pvrusb2-context.c,pvr2_channel_init,,FP
CVE-2022-1052,radareorg/radare2,0052500c1ed5bf8263b26b9fd7773dbdc6f170c4,cmd_api.c,alias_append_internal;r_cmd_alias_get,libr/core/cmd_api.c,r_cmd_alias_get,,FP
CVE-2022-1052,radareorg/radare2,0052500c1ed5bf8263b26b9fd7773dbdc6f170c4,cmd_api.c,r_cmd_alias_get,libr/core/cmd_api.c,r_cmd_alias_get,函数名相同,FP
CVE-2023-2176,torvalds/linux,8d037973d48c026224ab285e6a06985ccac6f7bf,cma.c,cma_bind_addr;rdma_resolve_addr;resolve_prepare_src;rdma_bind_addr;cma_format_hdr;rdma_bind_addr_dst,drivers/infiniband/core/cma.c,rdma_resolve_addr,,FP
CVE-2023-2176,torvalds/linux,8d037973d48c026224ab285e6a06985ccac6f7bf,cma.c,rdma_resolve_addr,drivers/infiniband/core/cma.c,rdma_resolve_addr,函数名相同,FP
CVE-2019-1000020,libarchive/libarchive,8312eaa576014cd9b965012af51bc1f967b12423,archive_read_support_format_iso9660.c,register_CE,libarchive/libarchive/archive_read_support_format_iso9660.c,register_CE,函数名相同,FP
CVE-2023-52596,torvalds/linux,315552310c7de92baea4e570967066569937a843,proc_sysctl.c,register_sysctl_mount_point,fs/proc/proc_sysctl.c,register_sysctl_mount_point,函数名相同,FP
CVE-2023-52596,torvalds/linux,315552310c7de92baea4e570967066569937a843,proc_sysctl.c,register_sysctl_mount_point;insert_header;get_links,fs/proc/proc_sysctl.c,register_sysctl_mount_point,,FP
CVE-2023-52570,torvalds/linux,c777b11d34e0f47dbbc4b018ef65ad030f2b283a,mdev_sysfs.c,parent_create_sysfs_files;remove_store,drivers/vfio/mdev/mdev_sysfs.c,remove_store,,FP
CVE-2023-52570,torvalds/linux,c777b11d34e0f47dbbc4b018ef65ad030f2b283a,mdev_sysfs.c,remove_store,drivers/vfio/mdev/mdev_sysfs.c,remove_store,函数名相同,FP
CVE-2022-1671,torvalds/linux,ff8376ade4f668130385839cef586a0990f8ef87,server_key.c,rxrpc_describe_s,net/rxrpc/server_key.c,rxrpc_describe_s,函数名相同,FP
CVE-2022-1671,torvalds/linux,ff8376ade4f668130385839cef586a0990f8ef87,server_key.c,rxrpc_preparse_s;rxrpc_free_preparse_s;rxrpc_describe_s;rxrpc_destroy_s,net/rxrpc/server_key.c,rxrpc_describe_s,,FP
CVE-2023-52488,torvalds/linux,dbf4ab821804df071c8b566d9813083125e6d97b,sc16is7xx.c,sc16is7xx_fifo_read;sc16is7xx_fifo_write;sc16is7xx_regmap_name;sc16is7xx_regmap_noinc,drivers/tty/serial/sc16is7xx.c,sc16is7xx_regmap_name,,FP
